stcode11,ac_no,st_name,ac_name,pc_name,Households,Population,Males,Females,SCPopulation,MaleSCPopulation,FemaleSCPopulation,STPopulation,MaleSTPopulation,FemaleSTPopulation,Literates,MaleLiterates,FemaleLiterates,Illiterates,MaleLiterates,FemaleIlliterates,TotalWorkers,FulltimeWorkers,MaleFulltimeWorkers,FemaleFulltimeWorkers,ParttimeWorkers,AgriculturalWorkers,DilapidatedHouses,HouseholdswithAccesstoTap,HouseholdswithElectricLighting,HouseholdswithKerosene,HouseholdswithIndoorToilets,HouseholdswithFirewood,HouseholdswithLPG,HouseholdswithTV,HouseholdswithMobile,Householdswith2wheelers,Householdswith4wheelers
36,12,TELANGANA,Bodhan,Nizamabad,63924,277350,136737,140613,40738,19762,20976,11227,5568,5659,157311,87011,70300,120039,49726,70313,128289,106743,64198,42545,21546,74187,2412,43552,59279,3944,32227,40973,18935,31483,41831,10360,916
36,13,TELANGANA,Jukkal,Zahirabad,56207,260040,130069,129971,47421,23617,23804,17965,9313,8652,119471,70794,48677,140569,59275,81294,136632,100385,57225,43160,36247,115257,2392,16071,47817,7210,8651,48681,4506,15563,33200,4760,470
36,14,TELANGANA,Banswada,Zahirabad,59712,251675,122613,129062,33948,15874,18074,27962,13749,14213,127591,71854,55737,124084,50759,73325,122015,92049,55659,36390,29966,89509,2962,32913,52985,6022,22143,46560,10667,25433,35238,8643,823
36,15,TELANGANA,Yellareddy,Zahirabad,73969,321366,157228,164138,51732,24816,26915,34117,17216,16901,153246,90857,62389,168120,66370,101749,164899,138492,73694,64797,26407,124059,4357,21516,65289,7657,16073,62260,9538,29570,46139,8277,638
36,16,TELANGANA,Kamareddy,Zahirabad,65174,273373,134015,139357,39193,18988,20205,15291,7370,7920,153537,88072,65464,119835,45943,73892,137659,116967,64674,52293,20691,67887,2625,25465,59783,4001,26949,42338,19000,33992,44568,9597,886
36,17,TELANGANA,Nizamabad (Urban),Nizamabad,18438,85707,42444,43262,6609,3201,3408,2699,1328,1371,57690,31168,26522,28016,11276,16739,32648,27329,19238,8090,5319,4120,411,12014,17995,346,15733,5251,11334,12934,14087,5649,749
36,18,TELANGANA,Nizamabad (Rural),Nizamabad,126453,561801,275917,285884,65080,31293,33786,48713,24193,24519,334124,186754,147369,227677,89162,138514,258087,222912,129502,93410,35174,105422,4148,74716,121499,4081,71219,61172,56912,80838,87615,29830,3358
36,19,TELANGANA,Balkonda,Nizamabad,70130,283420,137035,146385,47217,22548,24669,20053,9888,10165,153467,87832,65635,129953,49203,80750,156610,140609,69341,71268,16001,85732,1605,36413,67383,2194,28839,35376,31234,44837,45760,13585,1102
36,2,TELANGANA,Chennur,Peddapalle,57980,225229,114137,111091,68934,35016,33917,14479,7422,7057,129051,74298,54752,96177,39838,56339,98998,71368,48219,23148,27629,61259,4632,20280,50401,6765,20992,33996,22226,29957,32465,9818,554
36,20,TELANGANA,Koratla,Nizamabad,74251,295946,145544,150402,41664,20207,21457,8790,4424,4366,170545,97061,73484,125401,48483,76918,159291,148102,77198,70904,11189,70137,1792,35234,70861,2579,36536,31973,36281,47483,51921,16864,1019
36,21,TELANGANA,Jagtial,Nizamabad,73161,288130,141884,146246,38746,18918,19828,8756,4243,4513,162790,92565,70225,125340,49319,76021,152000,132953,73047,59906,19047,70513,2831,28610,69898,2641,33959,38959,28303,45600,50480,16405,1011
