State_Name,Year,month,Assembly_No,DelimID,Constituency_No,Poll_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin_Percentage,ENOP,pid,Normalized_Party
Andhra_Pradesh,2014,5,14,4,112,0,1,AJAY KUMAR PUVVADA,M,INC,70465,48,GEN,185886,264079,KHAMMAM,GEN,KHAMMAM,TELANGANA,25,70.39,37.91,no,3.06,3.45,AEAP1673,INC
Andhra_Pradesh,2014,5,14,4,113,0,1,RAMIREDDY VENKATAREDDY,M,INC,69707,68,GEN,177461,196479,PALAIR,GEN,KHAMMAM,TELANGANA,15,90.32,39.28,no,12.32,3.57,AEAP6165,INC
Andhra_Pradesh,2014,5,14,4,114,0,1,BHATTI VIKRAMARKA MALLU,M,INC,65135,53,SC,176950,196961,MADHIRA,SC,KHAMMAM,TELANGANA,16,89.84,36.81,no,6.97,3.33,AEAP1728,INC
Andhra_Pradesh,2014,5,14,4,115,0,1,BANOTH MADAN LAL,M,YSRCP,59318,50,ST,147011,168112,WYRA,ST,KHAMMAM,TELANGANA,10,87.45,40.35,no,7.2,3.33,AEAP1745,YSRCP
Andhra_Pradesh,2014,5,14,4,116,0,1,SANDRA VENKATA VEERAIAH,M,TDP,75490,46,SC,190265,221730,SATHUPALLE,SC,KHAMMAM,TELANGANA,8,85.81,39.68,no,1.31,2.94,AEAP1756,TDP
Andhra_Pradesh,2014,5,14,4,117,0,1,VENKAT RAO JALAGAM,M,TRS,50688,46,GEN,165263,225403,KOTHAGUDEM,GEN,KHAMMAM,TELANGANA,12,73.32,30.67,no,10,5,GEAP30734,TRS
Andhra_Pradesh,2014,5,14,4,118,0,1,THATI VENKATESWARLU,M,YSRCP,49546,51,ST,143656,167503,ASWARAOPETA,ST,KHAMMAM,TELANGANA,15,85.76,34.49,no,0.65,4,AEAP1778,YSRCP
Andhra_Pradesh,2014,5,14,4,119,0,1,SUNNAM RAJAIAH,M,CPM,57750,56,ST,166049,216772,BHADRACHALAM,ST,KHAMMAM,TELANGANA,15,76.6,34.78,no,1.09,4,AEAP12790,CPM
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,
