CleanArea,DistrictCode,Area,DistrictBroken,TotalPopulation2011,TotalMales2011,TotalFemales2011,MarginalWorkers2011,MarginalWorkersMale2011,MarginalWorkersFemale2011,PerMarginalWorkers2011,PerMarginalMale2011,PerMarginalFemale2011,PerMarginalWorkersMale2011,PerMarginalWorkersFemale2011,Agriculture2011,Manufacturing2011,WholesaleRetail2011,Construction2011,Services2011,NonAgriculture2011,TotalPopulation2001,TotalMales2001,TotalFemales2001,MarginalWorkersTotal2001,MarginalWorkersMale2001,MarginalWorkerFemale2001,PerMarginalWorkers2001,PerMarginalMale2001,PerMarginalFemale2001,PerMarginalWorkersMale2001,PerMarginalWorkersFemale2001,Agriculture2001,Manufacturing2001,WholesaleRetail2001,Construction2001,Services2001,NonAgriculture2001,,PPChangeinMarginal,PPChangeinMarginalMale,PPChangeinMarginalFemale,PPChangeinFemaleParticipation,PPChangeAgriculture,PPChangeinManufacturing,PPChangeinWholesale,PPChangeinConstruction,PPChangeinServices
Kupwara,1,District - Kupwara ,0,870354,474190,396164,104723,78800,25923,12.03223056,16.61781143,6.543502186,75.24612549,24.75387451,67.1180161,3.347879644,1.595638016,6.086533044,21.8519332,32.8819839,650393,341303,309090,15948,9034,6914,2.452055911,2.646914911,2.236888932,56.64660145,43.35339855,58.65312265,5.950589416,5.543014798,15.23702032,14.61625282,41.34687735,,9.580174653,13.97089651,4.306613254,-18.59952404,8.464893451,-2.602709771,-3.947376782,-9.150487272,7.235680374
Badgam,2,District - Badgam ,0,753745,398041,355704,82471,45405,37066,10.94149878,11.40711635,10.42046196,55.05571655,44.94428345,59.15291436,21.80524063,1.573886578,4.230578021,13.23738041,40.84708564,629309,326050,303259,187430,77755,109675,29.78346091,23.84756939,36.16545593,41.484821,58.515179,70.55007203,18.12089847,3.504775116,2.716214053,5.108040335,29.44992797,,-18.84196212,-12.44045304,-25.74499397,-13.57089556,-11.39715767,3.684342161,-1.930888538,1.514363968,8.129340077
Leh(Ladakh),3,District - Leh(Ladakh) ,0,133487,78971,54516,17982,8670,9312,13.4709747,10.97871371,17.08122386,48.21488155,51.78511845,61.06106106,1.790679568,1.001001001,4.337671004,31.80958737,38.93893894,117232,64306,52926,89779,61364,28415,76.58233247,95.42499922,53.68816839,68.35005959,31.64994041,3.736954076,18.14232727,21.64425979,16.88813642,39.58832244,96.26304592,,-63.11135777,-84.44628552,-36.60694453,20.13517804,57.32410698,-16.3516477,-20.64325879,-12.55046542,-7.778735071
Kargil,4,District - Kargil ,0,140802,77785,63017,22973,14615,8358,16.31581938,18.7889696,13.26308774,63.61816045,36.38183955,45.42288774,2.35058547,1.101292822,24.89879424,26.22643973,54.57711226,119307,64955,54352,176728,80858,95870,148.128777,124.4831037,176.3872535,45.75279526,54.24720474,56.99040333,12.27196596,6.889683582,10.71080983,13.1371373,43.00959667,,-131.8129576,-105.6941341,-163.1241657,-17.86536519,-11.56751559,-9.921380489,-5.78839076,14.1879844,13.08930244
Punch,5,District - Punch ,0,476835,251899,224936,88812,54853,33959,18.62531064,21.77579109,15.0971832,61.76305004,38.23694996,74.87276494,1.488537585,0.984101248,6.544160699,16.11043553,25.12723506,372613,194213,178400,286621,95300,191321,76.9219002,49.0698357,107.242713,33.24948277,66.75051723,83.80125671,7.359544486,2.198024569,2.510632508,4.130541726,16.19874329,,-58.29658956,-27.2940446,-92.14552981,-28.51356727,-8.92849177,-5.871006901,-1.213923321,4.033528191,11.9798938
Rajouri,6,District - Rajouri ,0,642415,345351,297064,161113,74759,86354,25.07927119,21.64725164,29.06915681,46.40159391,53.59840609,87.305804,1.966321774,0.731163842,2.706175169,7.290535214,12.694196,483284,257336,225948,205745,78607,127138,42.57227634,30.54644511,56.26869899,38.20603174,61.79396826,83.35074971,5.662835063,2.763129116,3.407616224,4.815669883,16.64925029,,-17.49300516,-8.899193478,-27.19954218,-8.195562174,3.955054286,-3.696513289,-2.031965275,-0.701441055,2.474865332
Kathua,7,District - Kathua ,0,616435,326109,290326,57074,37785,19289,9.25872152,11.58661674,6.643910638,66.20352525,33.79647475,64.57931808,4.166520657,2.039457546,11.02078004,18.19392368,35.42068192,550084,289391,260693,261073,83412,177661,47.46056966,28.82328752,68.14950919,31.94968457,68.05031543,83.56168581,6.524228856,3.644957541,1.552439356,4.716688436,16.43831419,,-38.20184814,-17.23667078,-61.50559855,-34.25384068,-18.98236773,-2.357708198,-1.605499994,9.468340684,13.47723524
Baramula,8,District - Baramula ,Y,1008039,534733,473306,116720,80478,36242,11.57891709,15.05012782,7.65720274,68.94962303,31.05037697,63.05003427,7.486291981,2.690198766,5.872172721,20.90130226,36.94996573,1169780,614816,554964,6699,2779,3920,0.572671784,0.452005153,0.706352124,41.48380355,58.51619645,18.95805344,68.23406479,4.955963577,3.836393492,4.015524705,81.04194656,,13.0515481,15.3490382,10.46125548,-20.0066355,42.94229042,-57.77625039,-2.809467162,1.19830689,16.44512024
Bandipore,9,District - Bandipore ,Y,392232,207680,184552,74056,36831,37225,18.88066247,17.73449538,20.17046686,49.73398509,50.26601491,60.08831155,15.14124446,1.289564654,3.714756401,19.76612293,39.91168845,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,13.0515481,15.3490382,10.46125548,0,42.94229042,-57.77625039,0,1.19830689,16.44512024
Srinagar,10,District - Srinagar ,Y,1236829,651124,585705,76705,43282,33423,6.201746563,6.647274559,5.706456322,56.42656932,43.57343068,14.73176455,17.06798775,7.930382635,9.554787823,50.71507724,85.26823545,1202447,649491,552956,208879,79581,129298,17.37116064,12.25282567,23.38305399,38.09909086,61.90090914,75.67156105,10.65736623,3.186055085,4.038701832,6.44631581,24.32843895,,-1.69978415,-3.650428175,-15.85342038,-17.98682607,-45.24318399,5.175920145,2.186973503,5.726781652,32.15350869
Ganderbal,11,District - Ganderbal ,Y,297446,158720,138726,47508,26384,21124,15.97197474,16.62298387,15.22713839,55.53590974,44.46409026,55.77165951,13.83977435,1.24400101,10.10566641,19.03889871,44.22834049,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,-1.69978415,-3.650428175,-15.85342038,-17.98682607,-45.24318399,5.175920145,2.186973503,5.726781652,32.15350869
Pulwama,12,District - Pulwama ,Y,560440,293064,267376,90238,49601,40637,16.10127757,16.92497202,15.19844713,54.9668654,45.0331346,68.92994082,8.945233715,2.116624925,3.300161794,16.70803874,31.07005918,652607,335544,317063,249175,86807,162368,38.18147829,25.87052667,51.21001189,34.83776462,65.16223538,77.01976523,13.40423397,2.363399217,3.273201565,3.93940002,22.98023477,,-23.26655005,-10.81549156,-36.44663339,-17.61205086,-5.359925005,-5.79646399,-0.62042505,-0.664823285,12.44163733
Shupiyan,13,District - Shupiyan ,Y,266215,136480,129735,33057,15067,17990,12.41740698,11.03971278,13.86672833,45.57884866,54.42115134,79.11183713,3.956801888,0.722993617,0.719968539,15.48839883,20.88816287,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,-23.26655005,-10.81549156,-36.44663339,-17.61205086,-5.359925005,-5.79646399,-0.62042505,-0.664823285,12.44163733
Anantnag,14,District - Anantnag ,Y,1078692,559767,518925,212621,85574,127047,19.71100184,15.28743209,24.48272872,40.24720042,59.75279958,78.53739753,5.048419488,1.433536669,1.946185936,13.03446038,21.46260247,1172434,610007,562427,236981,92971,144010,20.21273692,15.24097264,25.60510075,39.23141518,60.76858482,75.58411856,12.50058022,2.966482545,3.222199248,5.726619434,24.41588144,,-0.580358789,-0.083785812,-1.179373128,-0.696204787,2.998371302,-7.65355759,-1.652052961,-1.488602509,7.795841759
Kulgam,15,District - Kulgam ,Y,424483,217620,206863,82488,32256,50232,19.43258034,14.82216708,24.28273785,39.10386965,60.89613035,78.69871981,4.32790224,1.007419261,1.185627,14.78033168,21.30128019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,-0.580358789,-0.083785812,-1.179373128,-0.696204787,2.998371302,-7.65355759,-1.652052961,-1.488602509,7.795841759
Doda,16,District - Doda ,Y,409936,213641,196295,72668,32953,39715,17.72666953,15.42447377,20.23230342,45.34733308,54.65266692,78.08664061,2.60224583,0.531182914,13.20663841,5.573292233,21.91335939,691929,363526,328403,337611,115715,221896,48.79272295,31.8312858,67.56820126,34.27465337,65.72534663,84.06390787,6.579169518,2.151292464,3.235676563,3.969953586,15.93609213,,-32.98574612,-16.16716328,-51.60492927,-17.49968258,-4.201337633,-4.092703748,-1.540113292,6.63763893,3.196515742
Ramban,17,District - Ramban ,Y,283713,149132,134581,35267,22082,13185,12.43051957,14.8070166,9.797073881,62.61377492,37.38622508,75.41611138,3.652139394,0.893186265,8.231491196,11.80707177,24.58388862,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,-32.98574612,-16.16716328,-51.60492927,-17.49968258,-4.201337633,-4.092703748,-1.540113292,6.63763893,3.196515742
Kishtwar,18,District - Kishtwar ,Y,230696,120165,110531,38176,20613,17563,16.54818462,17.15391337,15.88965991,53.99465633,46.00534367,87.35069153,1.189228835,0.50293378,5.045054484,5.912091366,12.64930847,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,-32.98574612,-16.16716328,-51.60492927,-17.49968258,-4.201337633,-4.092703748,-1.540113292,6.63763893,3.196515742
Udhampur,19,District - Udhampur ,Y,554985,296784,258201,91227,36102,55125,16.43774156,12.16440239,21.34964621,39.57381039,60.42618961,80.50577132,2.768917097,1.350477381,7.138237583,8.236596622,19.49422868,743509,399686,343823,284555,82568,201987,38.27189718,20.6582167,58.74737874,29.01653459,70.98346541,83.67310362,7.759835533,2.781536083,2.197114793,3.588409973,16.32689638,,-21.31614936,-9.859827079,-34.77313617,-4.907483423,2.207430236,-5.830446427,-1.821249624,2.923056648,2.521209167
Reasi,20,District - Reasi ,Y,314667,166461,148206,56229,13921,42308,17.86936666,8.362919843,28.54675249,24.75768731,75.24231269,94.60065091,0.567322912,0.327233278,1.846022515,2.658770385,5.39934909,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,-21.31614936,-9.859827079,-34.77313617,-4.907483423,2.207430236,-5.830446427,-1.821249624,2.923056648,2.521209167
Jammu,21,District - Jammu ,Y,1529958,813821,716137,98666,65782,32884,6.4489352,8.08310427,4.59185882,66.67139643,33.32860357,44.87665457,5.983824215,5.136521193,12.8970466,31.10595342,55.12334543,1588772,850302,738470,330860,118612,212248,20.82488866,13.9493968,28.74158734,35.84960406,64.15039594,84.64305144,6.552015958,2.635858067,2.019585323,4.14948921,15.35694856,,-14.48956562,-5.782917498,-24.48491431,-32.68221074,-39.81717272,0.143051957,2.360257394,11.99634556,25.31751782
Samba,22,District - Samba ,Y,318898,169124,149774,18465,14490,3975,5.790252683,8.567678153,2.653998691,78.47278635,21.52721365,44.55456269,10.49553209,4.245870566,19.99458435,20.70945031,55.44543731,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,-14.48956562,-5.782917498,-24.48491431,-32.68221074,-39.81717272,0.143051957,2.360257394,11.99634556,25.31751782
Chamba,23,District - Chamba ,0,519080,261320,257760,174661,71539,103122,33.64818525,27.37601408,40.00698324,40.95877156,59.04122844,88.36603478,1.487452837,0.279398377,5.620029657,4.247084352,11.63396522,460887,235218,225669,295151,137106,158045,64.03977548,58.28890646,70.03398783,46.45283262,53.54716738,66.43616318,10.066034,5.54766882,8.534614485,9.415519514,33.56383682,,-30.39159023,-30.91289238,-30.02700459,5.494061055,21.92987159,-8.578581159,-5.268270443,-2.914584828,-5.168435162
Kangra,24,District - Kangra ,0,1510075,750591,759484,360438,157422,203016,23.86888068,20.97307322,26.73078037,43.67519518,56.32480482,78.43401639,2.858189203,1.196877133,11.35618331,6.154733963,21.56598361,1339030,661254,677776,325430,144726,180704,24.30341367,21.88659728,26.66131583,44.47223673,55.52776327,78.76563316,9.715760686,3.958454967,2.251175368,5.308975817,21.23436684,,-0.43453298,-0.913524065,0.069464539,0.797041554,-0.331616771,-6.857571483,-2.761577834,9.105007942,0.845758146
Lahul & Spiti,25,District - Lahul & Spiti ,0,31564,16588,14976,4105,2031,2074,13.00532252,12.24379069,13.84882479,49.47624848,50.52375152,65.67600487,0.365408039,0.682095006,16.07795371,17.19853837,34.32399513,33224,18441,14783,253556,98762,154794,763.1712015,535.5566401,1047.108165,38.95076433,61.04923567,80.36567859,10.38271624,2.994999132,1.81103977,4.445566265,19.63432141,,-750.165879,-523.3128494,-1033.25934,-10.52548415,-14.68967372,-10.01730821,-2.312904126,14.26691394,12.7529721
Kullu,26,District - Kullu ,0,437903,225452,212451,75184,29809,45375,17.16909909,13.22188315,21.35786605,39.64806342,60.35193658,93.50925729,1.194403064,0.430942754,1.135879974,3.729516918,6.490742711,381571,198016,183555,267529,99348,168181,70.11250855,50.1717033,91.62430879,37.13541336,62.86458664,83.14762138,6.426593005,3.049015247,2.50963447,4.867135899,16.85237862,,-52.94340946,-36.94982015,-70.26644274,-2.512650061,10.36163591,-5.23218994,-2.618072493,-1.373754495,-1.137618981
Mandi,27,District - Mandi ,0,999777,498065,501712,289083,112209,176874,28.91474799,22.52898718,35.25409,38.8154959,61.1845041,87.95017348,1.493688664,0.571462175,5.785189721,4.199485961,12.04982652,901344,447872,453472,318551,116271,202280,35.3417785,25.96076558,44.60694376,36.4999639,63.5000361,82.98263072,6.203402281,3.451880547,2.647613726,4.714472722,17.01736928,,-6.427030511,-3.431778395,-9.352853763,-2.315531997,4.967542755,-4.709713617,-2.880418371,3.137575995,-0.514986761
Hamirpur,28,District - Hamirpur ,0,454768,217070,237698,115589,43410,72179,25.41713577,19.99815728,30.36584237,37.55547673,62.44452327,86.56619575,1.821972679,0.812361038,5.751412332,5.048058206,13.43380425,412700,196593,216107,229928,75318,154610,55.7131088,38.31163877,71.54326329,32.75721095,67.24278905,83.80449532,6.476375213,2.534271598,3.637660485,3.547197384,16.19550468,,-30.29597303,-18.31348149,-41.17742092,-4.798265779,2.761700425,-4.654402534,-1.72191056,2.113751847,1.500860823
Una,29,District - Una ,0,521173,263692,257481,81017,35770,45247,15.54512609,13.56506834,17.57294713,44.15122752,55.84877248,79.97210462,4.665687448,1.24418332,8.400706025,5.717318587,20.02789538,448273,224524,223749,226622,88714,137908,50.55446123,39.51203435,61.6351358,39.14624352,60.85375648,81.80009002,6.572618722,3.308151901,3.749856589,4.56928277,18.19990998,,-35.00933514,-25.94696601,-44.06218867,-5.004983996,-1.827985398,-1.906931274,-2.063968581,4.650849435,1.148035817
Bilaspur,30,District - Bilaspur ,0,381956,192764,189192,102502,38012,64490,26.83607536,19.71944969,34.08706499,37.08415446,62.91584554,88.68997678,1.656553043,0.611695382,4.360890519,4.680884275,11.31002322,340885,171263,169622,230201,84896,145305,67.53039881,49.57054355,85.66400585,36.87907524,63.12092476,82.3806152,7.404833168,2.831004209,3.220663681,4.162883741,17.6193848,,-40.69432346,-29.85109386,-51.57694086,-0.205079213,6.309361579,-5.748280125,-2.219308828,1.140226838,0.518000535
Solan,31,District - Solan ,0,580320,308754,271566,79814,31941,47873,13.75344637,10.34512913,17.62849547,40.01929486,59.98070514,84.21580174,4.041897411,0.821910943,2.801513519,8.118876388,15.78419826,500557,270291,230266,241602,86852,154750,48.26663097,32.13277542,67.20488479,35.94837791,64.05162209,84.11809505,6.088525757,2.906846798,2.48549267,4.401039726,15.88190495,,-34.5131846,-21.78764628,-49.57638932,-4.07091695,0.09770669,-2.046628346,-2.084935855,0.316020849,3.717836661
Sirmaur,32,District - Sirmaur ,0,529855,276289,253566,85697,34215,51482,16.17367016,12.38377206,20.30319522,39.92555165,60.07444835,84.39852037,3.447028484,0.996534301,3.729418766,7.42849808,15.60147963,458593,241299,217294,304277,102545,201732,66.35011873,42.49706795,92.83827441,33.70119989,66.29880011,82.95993453,8.149482215,2.695898803,2.23874956,3.955934888,17.04006547,,-50.17644858,-30.11329589,-72.53507919,-6.224351759,1.438585835,-4.702453731,-1.699364502,1.490669206,3.472563192
Shimla,33,District - Shimla ,0,814010,425039,388971,119459,43861,75598,14.67537254,10.31928835,19.43538207,36.71636294,63.28363706,86.06802334,0.981089746,0.844641258,1.587992533,10.51825312,13.93197666,722502,380996,341506,286256,114573,171683,39.62009794,30.07196926,50.27232318,40.02466324,59.97533676,80.36966911,7.822368789,3.971619809,3.231722654,4.604619641,19.63033089,,-24.9447254,-19.75268091,-30.83694111,3.308300302,5.698354231,-6.841279043,-3.126978551,-1.643730121,5.913633483
Kinnaur,34,District - Kinnaur ,0,84121,46249,37872,9479,4021,5458,11.2682921,8.694242038,14.41170258,42.42008651,57.57991349,83.7535605,2.194324296,0.126595632,4.177655871,9.747863699,16.2464395,78334,42173,36161,3593,1645,1948,4.586769474,3.90059991,5.387019164,45.78346785,54.21653215,72.55775118,1.809073198,1.55858614,6.846646257,17.22794322,27.44224882,,6.681522629,4.793642128,9.024683413,3.363381347,11.19580932,0.385251098,-1.431990507,-2.668990386,-7.480079524
Gurdaspur,35,District - Gurdaspur ,0,2298323,1212617,1085706,131278,89136,42142,5.711903853,7.350713374,3.881529622,67.89865781,32.10134219,34.24945535,11.29511419,4.808117125,15.13581864,34.51149469,65.75054465,2104011,1113077,990934,5512,2422,3090,0.261975817,0.217595009,0.311827024,43.94049347,56.05950653,74.00217707,4.970972424,1.632801161,11.30261248,8.091436865,25.99782293,,5.449928037,7.133118365,3.569702598,-23.95816434,-39.75272171,6.324141761,3.175315964,3.833206163,26.42005783
Kapurthala,36,District - Kapurthala ,0,815168,426311,388857,36300,23027,13273,4.453069797,5.401455745,3.413337036,63.43526171,36.56473829,36.14325069,9.1184573,4.269972452,14.69421488,35.77410468,63.85674931,754521,399623,354898,5731,2482,3249,0.759554737,0.621085373,0.915474305,43.30832315,56.69167685,56.39504449,6.281626243,5.653463619,4.519281103,27.15058454,43.60495551,,3.693515059,4.780370372,2.497862731,-20.12693855,-20.25179381,2.836831057,-1.383491167,10.17493377,8.623520143
Jalandhar,37,District - Jalandhar ,0,2193590,1145211,1048379,84919,52871,32048,3.871233913,4.616703821,3.056909763,62.26050707,37.73949293,25.47721947,13.50816661,5.877365489,15.01901812,40.11823031,74.52278053,1962700,1040177,922523,7932,3123,4809,0.404137158,0.300237363,0.521287816,39.37216339,60.62783661,87.7584468,2.723146747,1.298537569,0.769036813,7.450832073,12.2415532,,3.467096755,4.316466458,2.535621946,-22.88834368,-62.28122733,10.78501986,4.57882792,14.24998131,32.66739824
Hoshiarpur,38,District - Hoshiarpur ,0,1586625,809057,777568,88878,60622,28256,5.601701725,7.492920771,3.633894399,68.20810549,31.79189451,41.240802,10.24775535,4.244019892,19.86993407,24.39748869,58.759198,1480736,765132,715604,1348,482,866,0.091035809,0.062995666,0.121016652,35.75667656,64.24332344,78.41246291,6.008902077,2.448071217,3.783382789,9.347181009,21.58753709,,5.510665916,7.429925105,3.512877747,-32.45142894,-37.17166091,4.238853273,1.795948676,16.08655128,15.05030768
Shahid Bhagat Singh Nagar,39,District - Shahid Bhagat Singh Nagar ,Y,612310,313291,299019,30363,19639,10724,4.958762718,6.268612887,3.586394176,64.6806969,35.3193031,32.87224583,12.83799361,4.367157396,20.84774232,29.07486085,67.12775417,587468,306902,280566,6242,2543,3699,1.062525959,0.828603267,1.318406364,40.74014739,59.25985261,74.23902595,5.334828581,2.931752643,3.043896187,14.45049664,25.76097405,,3.896236759,5.44000962,2.267987811,-23.94054951,-41.36678013,7.50316503,1.435404752,17.80384613,14.62436421
Fatehgarh Sahib,40,District - Fatehgarh Sahib ,0,600163,320795,279368,21615,14532,7083,3.601521587,4.529995792,2.535365539,67.23108952,32.76891048,30.45570206,16.93268563,4.247050659,14.91556789,33.44899375,69.54429794,538041,290137,247904,1710,841,869,0.317819646,0.289863065,0.350538918,49.18128655,50.81871345,89.64912281,1.578947368,1.286549708,1.34502924,6.140350877,10.35087719,,3.283701941,4.240132727,2.184826621,-18.04980297,-59.19342075,15.35373827,2.960500952,13.57053865,27.30864288
Ludhiana,41,District - Ludhiana ,0,3498739,1867816,1630923,146838,84478,62360,4.196883506,4.522822377,3.823601727,57.53142919,42.46857081,23.01515956,15.90460235,5.367820319,8.601315736,47.11110203,76.98484044,3032831,1662716,1370115,3614,1467,2147,0.119162591,0.088229138,0.156702175,40.59214167,59.40785833,82.18040952,2.324294411,3.0160487,4.897620365,7.581627006,17.81959048,,4.077720915,4.434593238,3.666899553,-16.93928752,-59.16524995,13.58030794,2.351771619,3.70369537,39.52947502
Moga,42,District - Moga ,0,995746,525920,469826,54815,33099,21716,5.504917921,6.293542744,4.622136706,60.38310681,39.61689319,46.20085743,7.439569461,3.338502235,8.596187175,34.4248837,53.79914257,894854,474139,420715,9302,2947,6355,1.039499181,0.62154769,1.510523751,31.68135885,68.31864115,84.60546119,3.386368523,1.730810578,3.601376048,6.675983659,15.39453881,,4.46541874,5.671995055,3.111612955,-28.70174797,-38.40460376,4.053200938,1.607691656,4.994811127,27.74890004
Firozpur,43,District - Firozpur ,0,2029074,1071637,957437,138374,54784,83590,6.819563998,5.112178844,8.730600551,39.59125269,60.40874731,72.7073005,5.94331305,2.977437958,6.165898218,12.20605027,27.2926995,1746107,926224,819883,10869,3634,7235,0.622470444,0.392345696,0.882442983,33.4345386,66.5654614,90.65231392,3.293771276,0.956849756,0.947649278,4.14941577,9.34768608,,6.197093554,4.719833148,7.848157569,-6.156714096,-17.94501342,2.649541774,2.020588202,5.21824894,8.0566345
Muktsar,44,District - Muktsar ,0,901896,475622,426274,48318,19623,28695,5.357380452,4.125755327,6.731585788,40.61219421,59.38780579,67.98294631,6.419967714,4.226168302,9.098058694,12.27285898,32.01705369,777493,411217,366276,5267,2259,3008,0.677433752,0.549344993,0.821238629,42.88969053,57.11030947,88.11467629,2.012530852,1.291057528,4.176950826,4.404784507,11.88532371,,4.6799467,3.576410334,5.910347159,2.277496313,-20.13172997,4.407436861,2.935110774,4.921107869,7.868074469
Faridkot,45,District - Faridkot ,0,617508,326671,290837,31404,16922,14482,5.08560213,5.180135366,4.979421463,53.88485543,46.11514457,55.34963699,6.273086231,3.216150809,7.323907782,27.83721819,44.65036301,550892,292596,258296,96507,38088,58419,17.51831575,13.01726613,22.61707498,39.46656719,60.53343281,77.4296165,5.247287762,2.3490524,1.691069042,13.28297429,22.5703835,,-12.43271362,-7.837130762,-17.63765352,-14.41828824,-22.07997952,1.02579847,0.867098408,5.632838741,14.5542439
Bathinda,46,District - Bathinda ,0,1388525,743197,645328,98177,43530,54647,7.070596496,5.857128056,8.468096844,44.33828697,55.66171303,57.71514713,9.821037514,3.522209886,4.850423215,24.09118225,42.28485287,1183295,632809,550486,70163,40703,29460,5.929459687,6.432114587,5.351634737,58.01205764,41.98794236,73.25655973,9.724498667,4.337043741,2.955973946,9.72592392,26.74344027,,1.14113681,-0.574986531,3.116462106,13.67377067,-15.54141259,0.096538846,-0.814833855,1.894449269,14.36525833
Mansa,47,District - Mansa ,0,769751,408732,361019,82128,24221,57907,10.66942427,5.925887868,16.03987602,29.49176895,70.50823105,69.72043639,6.494739918,1.872686538,3.292421586,18.61971557,30.27956361,688758,366446,322312,64057,24394,39663,9.300363843,6.656915344,12.30577825,38.08170848,61.91829152,66.37525953,13.53325944,4.519412398,2.183992382,13.38807624,33.62474047,,1.369060425,-0.731027476,3.734097765,8.589939532,3.345176857,-7.038519523,-2.64672586,1.108429204,5.231639321
Patiala,48,District - Patiala ,YM,1895686,1002522,893164,90110,57082,33028,4.753424354,5.693840135,3.697865118,63.34702031,36.65297969,36.93707691,10.72023083,4.912884253,12.73887471,34.6909333,63.06292309,1844934,987390,857544,106838,40742,66096,5.79088466,4.126231783,7.707592847,38.13437167,61.86562833,72.72318838,11.0878152,3.895617664,1.123195867,11.17018289,27.27681162,,0.975008326,2.963452244,-1.285404434,-24.88371211,-38.80963519,0.221446404,0.852340669,11.53447648,26.20137163
Amritsar,49,District - Amritsar ,Y,2490656,1318408,1172248,130778,72727,58051,5.250745185,5.516274173,4.95210911,55.6110355,44.3889645,32.90614629,9.90533576,5.149948768,8.843230513,43.19533867,67.09385371,3096077,1650589,1445488,2406,737,1669,0.077711246,0.044650728,0.115462736,30.63175395,69.36824605,71.4879468,2.784704904,3.241895262,4.197838736,18.2876143,28.5120532,,5.323555082,5.889061651,4.689160566,-27.42025604,-34.82300662,6.441914446,1.188338429,4.367758363,22.82499538
Tarn Taran,50,District - Tarn Taran ,Y,1119627,589369,530258,64223,40475,23748,5.736106757,6.86751424,4.478574581,63.02259315,36.97740685,44.31901344,7.844541675,2.964669978,8.000249132,36.87152578,55.68098656,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,5.323555082,5.889061651,4.689160566,-27.42025604,-34.82300662,6.441914446,1.188338429,4.367758363,22.82499538
Rupnagar,51,District - Rupnagar ,YM,684627,357485,327142,39561,25040,14521,5.778474994,7.004489699,4.438745254,63.29465888,36.70534112,37.54960694,11.13723111,5.242536842,12.62859887,33.44202624,62.45039306,1116108,596582,519526,4369,1646,2723,0.391449573,0.275905073,0.524131612,37.67452506,62.32547494,69.03181506,5.607690547,4.005493248,1.762417029,19.59258412,30.96818494,,0.975008326,2.963452244,-1.285404434,-24.88371211,-38.80963519,0.221446404,0.852340669,11.53447648,26.20137163
Sahibzada Ajit Singh Nagar,52,District - Sahibzada Ajit Singh Nagar ,YM,994628,529253,465375,39448,24423,15025,3.966105921,4.614617206,3.228579103,61.911884,38.088116,22.73879538,11.90427905,3.893733523,12.60900426,48.85418779,77.26120462,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0.975008326,2.963452244,-1.285404434,-24.88371211,-38.80963519,0.221446404,0.852340669,11.53447648,26.20137163
Sangrur,53,District - Sangrur ,Y,1655169,878029,777140,69007,41623,27384,4.169181516,4.740504015,3.523689425,60.31706928,39.68293072,47.15608561,11.41043662,4.979205008,12.91173359,23.54253916,52.84391439,2000173,1069289,930884,63554,26548,37006,3.177425153,2.482771262,3.975361055,41.77235107,58.22764893,72.20945967,10.23696384,3.472637442,2.660729458,11.42020959,27.79054033,,0.90593395,2.160108883,-0.525977321,-18.62545534,-23.57827931,1.279401061,1.208334006,9.5215477,11.56899654
Barnala,54,District - Barnala ,Y,595527,317522,278005,22897,13885,9012,3.844829873,4.372925341,3.241668315,60.64113203,39.35886797,53.07682229,11.83561165,3.782154867,9.983840678,21.32157051,46.92317771,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0.90593395,2.160108883,-0.525977321,-18.62545534,-23.57827931,1.279401061,1.208334006,9.5215477,11.56899654
