CleanArea,DistrictCode,Area,DistrictBroken,TotalPopulation2011,TotalMales2011,TotalFemales2011,MarginalWorkers2011,MarginalWorkersMale2011,MarginalWorkersFemale2011,PerMarginalWorkers2011,PerMarginalMale2011,PerMarginalFemale2011,PerMarginalWorkersMale2011,PerMarginalWorkersFemale2011,Agriculture2011,Manufacturing2011,WholesaleRetail2011,Construction2011,Services2011,NonAgriculture2011,TotalPopulation2001,TotalMales2001,TotalFemales2001,MarginalWorkersTotal2001,MarginalWorkersMale2001,MarginalWorkerFemale2001,PerMarginalWorkers2001,PerMarginalMale2001,PerMarginalFemale2001,PerMarginalWorkersMale2001,PerMarginalWorkersFemale2001,Agriculture2001,Manufacturing2001,WholesaleRetail2001,Construction2001,Services2001,NonAgriculture2001,,PPChangeinMarginal,PPChangeinMarginalMale,PPChangeinMarginalFemale,PPChangeinFemaleParticipation,PPChangeAgriculture,PPChangeinManufacturing,PPChangeinWholesale,PPChangeinConstruction,PPChangeinServices
East Godavari,545,District - East Godavari ,0,5154296,2569688,2584608,345978,168766,177212,6.712420086,6.567567736,6.856436256,48.77940216,51.22059784,74.72642769,7.20739469,2.817520189,3.784922741,11.46373469,25.27357231,4901420,2459640,2441780,222426,115630,106796,4.537991031,4.701094469,4.3736946,51.98582899,48.01417101,64.04646939,17.77804753,4.23286846,5.20038125,8.742233372,35.95353061,,2.174429055,1.866473267,2.482741657,3.206426836,10.6799583,-10.57065284,-1.41534827,-1.41545851,2.721501316
West Godavari,546,District - West Godavari ,0,3936966,1964918,1972048,238869,99199,139670,6.067337132,5.048505841,7.082484808,41.52862029,58.47137971,76.13294316,9.245234836,2.641615279,2.796930535,9.183276189,23.86705684,3803517,1910038,1893479,98922,60174,38748,2.600803414,3.150408526,2.046391853,60.82974465,39.17025535,63.37720628,17.86559107,4.31552132,4.810861082,9.630820242,36.62279372,,3.466533718,1.898097315,5.036092954,19.30112436,12.75573688,-8.620356236,-1.673906041,-2.013930547,-0.447544053
Krishna,547,District - Krishna ,0,4517398,2267375,2250023,303832,133608,170224,6.725818712,5.892629142,7.565433776,43.97430159,56.02569841,68.68038916,5.649174544,3.658929935,4.008465204,18.00304115,31.31961084,4187841,2117401,2070440,234021,83092,150929,5.588106139,3.924244864,7.289706536,35.50621525,64.49378475,78.09726478,8.800919576,2.820687032,3.267655467,7.01347315,21.90273522,,1.137712574,1.968384277,0.27572724,-8.468086334,-9.416875613,-3.151745032,0.838242903,0.740809738,10.989568
Guntur,548,District - Guntur ,0,4887813,2440521,2447292,275743,107952,167791,5.641439229,4.423317808,6.856190434,39.1494979,60.8505021,75.44307562,5.473212375,2.893999122,3.486579895,12.70313299,24.55692438,4465144,2250279,2214865,171121,112948,58173,3.832373603,5.019288719,2.626480621,66.00475687,33.99524313,50.55370177,22.01132532,6.645005581,6.729156562,14.06081077,49.44629823,,1.809065625,-0.595970911,4.229709813,26.85525897,24.88937385,-16.53811294,-3.751006458,-3.242576667,-1.357677782
Prakasam,549,District - Prakasam ,0,3397448,1714764,1682684,236903,83559,153344,6.972969123,4.872915457,9.11305985,35.271398,64.728602,79.13914134,5.082248853,2.162066331,4.851774777,8.764768703,20.86085866,3059423,1552332,1507091,102448,70649,31799,3.348605276,4.551152717,2.109958855,68.96083867,31.03916133,53.18991098,28.51788224,4.378806809,4.431516477,9.481883492,46.81008902,,3.624363846,0.321762739,7.003100995,33.68944067,25.94923036,-23.43563339,-2.216740478,0.4202583,-0.717114789
Sri Potti Sriramulu Nellore,550,District - Sri Potti Sriramulu Nellore ,0,2963557,1492974,1470583,237801,98233,139568,8.024175003,6.579685915,9.490657787,41.30890955,58.69109045,77.67671288,5.738411529,2.571057313,4.362471142,9.651347135,22.32328712,2668564,1344935,1323629,139235,84190,55045,5.217600177,6.259782071,4.158642641,60.46611843,39.53388157,73.42622186,13.31202643,4.177828851,3.017201135,6.066721729,26.57377814,,2.806574826,0.319903844,5.332015146,19.15720888,4.250491027,-7.573614901,-1.606771538,1.345270007,3.584625405
Y.S.R.,551,District - Y.S.R. ,0,2882469,1451777,1430692,240584,89408,151176,8.346455764,6.158521591,10.56663489,37.1629036,62.8370964,71.74583513,6.573587603,2.636916836,5.148305789,13.89535464,28.25416487,2601797,1318093,1283704,74753,46470,28283,2.87312961,3.525547894,2.203233767,62.16472917,37.83527083,76.50261528,9.484569181,3.737642636,3.601193263,6.67397964,23.49738472,,5.473326154,2.632973697,8.36340112,25.00182557,-4.756780145,-2.910981578,-1.100725801,1.547112526,7.221374997
Kurnool,552,District - Kurnool ,0,4053463,2039227,2014236,271112,109334,161778,6.688404458,5.361541408,8.031730145,40.32798253,59.67201747,68.94346248,6.669199445,2.731343504,4.157322435,17.49867214,31.05653752,3529494,1796214,1733280,150418,83909,66509,4.261744035,4.6714367,3.837175759,55.78388225,44.21611775,77.50003324,10.0493292,3.84794373,3.280857344,5.321836482,22.49996676,,2.426660423,0.690104708,4.194554386,15.45589972,-8.55657076,-3.380129757,-1.116600226,0.876465091,12.17683565
Anantapur,553,District - Anantapur ,0,4081148,2064495,2016653,356259,142502,213757,8.729382027,6.902511268,10.59959249,39.99955089,60.00044911,74.34563057,7.524581835,2.457762471,3.702081912,11.96994322,25.65436943,3640478,1859588,1780890,237663,131555,106108,6.528346003,7.074416484,5.958144523,55.35358891,44.64641109,68.4077875,15.88509781,4.477348178,4.128534942,7.101231576,31.5922125,,2.201036024,-0.171905216,4.64144797,15.35403802,5.937843069,-8.360515971,-2.019585707,-0.42645303,4.86871164
Chittoor,554,District - Chittoor ,0,4174064,2090204,2083860,263945,115278,148667,6.323453593,5.515155459,7.134212471,43.67500805,56.32499195,67.97476747,7.703498835,3.833753244,5.625793252,14.8621872,32.02523253,3745875,1889690,1856185,102838,76176,26662,2.74536657,4.031137382,1.436386998,74.07378595,25.92621405,69.44611914,13.66032012,4.686011008,5.182909041,7.024640697,30.55388086,,3.578087024,1.484018076,5.697825473,30.3987779,-1.471351668,-5.95682128,-0.852257764,0.442884211,7.837546501
Belgaum,555,District - Belgaum ,0,4779661,2423063,2356598,372200,135322,236878,7.787163148,5.58474955,10.05169316,36.35733477,63.64266523,75.18054809,6.708221386,3.17248791,3.668189146,11.27055347,24.81945191,4214505,2150090,2064415,110587,82576,28011,2.62396177,3.840583417,1.356849277,74.67062132,25.32937868,71.84660041,11.95167606,4.073715717,3.892862633,8.23514518,28.15339959,,5.163201378,1.744166133,8.694843884,38.31328655,3.333947678,-5.24345467,-0.901227807,-0.224673487,3.035408286
Bagalkot,556,District - Bagalkot ,0,1889752,950111,939641,142047,56778,85269,7.516700604,5.975933338,9.074635951,39.97127711,60.02872289,69.00040128,9.334938436,3.329883771,4.149330855,14.18544566,30.99959872,1651892,834247,817645,175633,100206,75427,10.63223262,12.01155054,9.22490812,57.05419824,42.94580176,76.80504233,10.12622913,3.241418185,1.860128791,7.967181566,23.19495767,,-3.115532012,-6.035617198,-0.150272169,17.08292113,-7.804641057,-0.79129069,0.088465586,2.289202064,6.218264096
