CleanArea,DistrictCode,Area,DistrictBroken,TotalPopulation2011,TotalMales2011,TotalFemales2011,TotalWorkers2011,TotalWokersMale2011,TotalWorkersFemale2011,MainWorkers2011,MainWokersMale2011,MainWorkersFemale2011,PerMainWorkers2011,PerMainMale2011,PerMainFemale2011,PerMainWorkersMale2011,PerMainWorkersFemale2011,Agriculture2011,Manufacturing2011,WholesaleRetail2011,Construction2011,Services2011,NonAgriculture2011,TotalPopulation2001,TotalMales2001,TotalFemales2001,TotalWorkers2001,TotalMaleWorkers2001,TotalFemaleWorkers2001,MainWorkersTotal2001,MainWorkersMale2001,MainWorkerFemale2001,PerMainWorkers2001,PerMainMale2001,PerMainFemale2001,PerMainWorkersMale2001,PerMainWorkersFemale2001,Agriculture2001,Manufacturing2001,WholesaleRetail2001,Construction2001,Services2001,NonAgriculture2001,PPChangeinMain,PPChangeinMainMale,PPChangeinMainFemale,PPChangeinFemaleParticipation,PPChangeAgriculture,PPChangeinManufacturing,PPChangeinWholesale,PPChangeinConstruction,PPChangeinServices,BiggestEmployer,BiggestEmployerByMen,BiggestEmployerbyWomen
Kupwara,1,District - Kupwara ,0,870354,474190,396164,203788,171386,32402,114380,103938,10442,56.12695546,60.64556031,32.22640578,90.87078161,9.129218395,20.106662,2.852771464,4.407239028,2.854520021,74.18604651,79.893338,650393,341303,309090,#VALUE!,0,0,116836,105251,11585,#VALUE!,#DIV/0!,#DIV/0!,90.0843918,9.915608203,47.28337156,4.795610942,4.406176179,1.474716697,46.4463008,52.71662844,#VALUE!,#DIV/0!,#DIV/0!,-0.786389808,-27.17670956,-1.942839478,0.001062849,1.379803324,27.73974571,Administration and Defence,Administration and Defence,"Education, Health and Social Work"
Badgam,2,District - Badgam ,0,753745,398041,355704,191837,144346,47491,118830,104687,14143,61.94321221,72.52504399,29.78037944,88.09812337,11.90187663,35.21585458,17.91971724,6.154169822,4.376840865,42.48758731,64.78414542,629309,326050,303259,#VALUE!,0,0,135315,115080,20235,#VALUE!,#DIV/0!,#DIV/0!,85.04600377,14.95399623,43.56575398,22.16975206,5.419207035,3.358090382,30.90640358,56.43424602,#VALUE!,#DIV/0!,#DIV/0!,-3.052119601,-8.349899399,-4.250034817,0.734962787,1.018750483,11.58118373,Cultivators,Cultivators,"Education, Health and Social Work"
Leh (Ladakh),3,District - Leh(Ladakh) ,0,133487,78971,54516,71656,52823,18833,56639,45635,11004,79.04292732,86.39229124,58.42935273,80.57169088,19.42830912,17.38201593,1.302989106,2.500044139,1.58547997,79.729515,82.61798407,117232,64306,52926,#VALUE!,0,0,35947,26446,9501,#VALUE!,#DIV/0!,#DIV/0!,73.56942165,26.43057835,32.01657996,3.850112666,4.017025065,3.243664284,60.88964309,67.98342004,#VALUE!,#DIV/0!,#DIV/0!,-7.002269236,-14.63456404,-2.547123559,-1.516980925,-1.658184314,18.83987191,Administration and Defence,Administration and Defence,Cultivators
Kargil,4,District - Kargil ,0,140802,77785,63017,45782,35108,10674,26427,22913,3514,57.72355948,65.26432722,32.92111673,86.70299315,13.29700685,8.33617134,1.154122678,2.701782268,3.133159269,87.37654671,91.66382866,119307,64955,54352,#VALUE!,0,0,37366,26368,10998,#VALUE!,#DIV/0!,#DIV/0!,70.56682546,29.43317454,37.02296205,1.418401756,2.724401863,7.423861264,54.13477493,62.97703795,#VALUE!,#DIV/0!,#DIV/0!,-16.13616769,-28.68679071,-0.264279078,-0.022619595,-4.290701995,33.24177178,Administration and Defence,Administration and Defence,"Education, Health and Social Work"
Punch,5,District - Punch ,0,476835,251899,224936,144097,105009,39088,68181,59012,9169,47.31604405,56.19708787,23.45732706,86.55197196,13.44802804,31.70238043,2.205893137,3.168038016,3.399774131,62.6919523,68.29761957,372613,194213,178400,#VALUE!,0,0,71783,59425,12358,#VALUE!,#DIV/0!,#DIV/0!,82.78422468,17.21577532,66.08110555,4.379867099,3.461822437,2.989565775,26.54946157,33.91889445,#VALUE!,#DIV/0!,#DIV/0!,-3.76774728,-34.37872513,-2.173973962,-0.293784421,0.410208356,36.14249073,Administration and Defence,Administration and Defence,"Education, Health and Social Work"
Rajouri,6,District - Rajouri ,0,642415,345351,297064,252426,162300,90126,121650,103612,18038,48.19234152,63.83980283,20.01420234,85.17221537,14.82778463,39.44266338,2.674886971,3.437731196,3.399917797,54.48253185,60.55733662,483284,257336,225948,#VALUE!,0,0,104683,94411,10272,#VALUE!,#DIV/0!,#DIV/0!,90.18751851,9.812481492,56.90035631,3.302350907,3.559317177,2.287859538,37.50943324,43.09964369,#VALUE!,#DIV/0!,#DIV/0!,5.015303136,-17.45769294,-0.627463936,-0.121585981,1.112058259,16.97309861,Cultivators,Administration and Defence,Cultivators
Kathua,7,District - Kathua ,0,616435,326109,290326,178945,144710,34235,129617,111854,17763,72.4339881,77.29528022,51.8854973,86.2957791,13.7042209,39.84585355,6.099508552,7.428037989,6.205976068,47.84866183,60.15414645,550084,289391,260693,#VALUE!,0,0,143608,113045,30563,#VALUE!,#DIV/0!,#DIV/0!,78.71775946,21.28224054,52.61963122,5.839507548,5.208623475,5.011559245,36.52930199,47.38036878,#VALUE!,#DIV/0!,#DIV/0!,-7.578019647,-12.77377767,0.260001004,2.219414514,1.194416823,11.31935984,Cultivators,Cultivators,Cultivators
Baramula,8,District - Baramula ,Y,1008039,534733,473306,271261,222696,48565,169305,152768,16537,62.41405878,68.59934619,34.05127149,90.23242078,9.767579221,27.93124834,8.127344142,8.459289448,4.101473672,59.83993385,72.06875166,1169780,614816,554964,#VALUE!,0,0,235210,200150,35060,#VALUE!,#DIV/0!,#DIV/0!,85.09417117,14.90582883,42.97011181,16.27949492,7.205475958,2.370647506,38.37974576,57.02988819,-3.182475787,-4.110314387,-2.392819747,-4.011368261,-14.04635068,-5.563521384,0.58887997,1.683497781,17.92637428,Administration and Defence,Administration and Defence,"Education, Health and Social Work"
Bandipore,9,District - Bandipore ,Y,392232,207680,184552,132046,89707,42339,67687,58405,9282,51.26016691,65.10640195,21.92304967,86.28687931,13.71312069,31.40632618,17.19089338,6.131162557,3.935763145,47.4670173,68.59367382,#N/A,#N/A,#N/A,#VALUE!,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.182475787,-4.110314387,-2.392819747,-4.011368261,-14.04635068,-5.563521384,0.58887997,1.683497781,17.92637428,Administration and Defence,Administration and Defence,Manufacturing (Household)
Srinagar,10,District - Srinagar ,Y,1236829,651124,585705,368598,301663,66935,303588,265256,38332,82.36289942,87.93123452,57.26749832,87.37367748,12.62632252,6.094114392,12.62302858,20.45667154,7.124458147,74.15839888,93.90588561,1202447,649491,552956,#VALUE!,0,0,293570,264400,29170,#VALUE!,#DIV/0!,#DIV/0!,90.06369861,9.936301393,9.959805157,18.8476343,15.8640188,4.604012672,66.58854788,90.04019484,-1.282218274,-2.325606412,0.807696878,2.480050875,-1.230010927,-6.228132504,2.39182562,2.490441995,4.967701437,Administration and Defence,Administration and Defence,"Education, Health and Social Work"
