Table,State_Code,District_Code,District_Name,Rural_or_Urban,Literacy,Total_Population,Male_Population,Female_Population,Total_Main_Workers,Total_Main_Male_Workers,Total_Main_Female_Workers,Total_Marginal_Workers,Total_Marginal_Male_Workers,Total_Marginal_Female_Workers,Seeking_Total_Workers,Seeking_Male_Workers,Seeking_Female_Workers,Total_Person_Nonworkers,Total_Male_Nonworkers,Total_Female_Nonworkers,Total_Person_Nonworkers_Seeking,Total_Male_Nonworkers_Seeking,Total_Female_Nonworkers_Seeking
B0103,01,002,District - Badgam,Rural,Matric/secondary but below graduate,75196,49101,26095,21045,18839,2206,9724,6688,3036,7423,5360,2063,44427,23574,20853,21815,11966,9849
B0103,01,002,District - Badgam,Rural,Technical diploma or certificate not equal to degree,653,443,210,225,190,35,109,74,35,92,61,31,319,179,140,210,118,92
B0103,01,002,District - Badgam,Rural,Graduate and above other than technical degree,15363,11231,4132,6314,5366,948,1476,1092,384,1226,921,305,7573,4773,2800,5158,3309,1849
B0103,01,002,District - Badgam,Rural,Technical degree or diploma equal to degree or post-graduate degree,4419,3276,1143,2211,1815,396,308,220,88,243,176,67,1900,1241,659,1339,864,475
B0103,01,002,District - Badgam,Urban,Total,97912,54656,43256,25615,23307,2308,7483,4702,2781,4138,2963,1175,64814,26647,38167,13467,5495,7972
B0103,01,002,District - Badgam,Urban,Illiterate,40528,17556,22972,5342,4581,761,3565,1932,1633,1837,1204,633,31621,11043,20578,3411,667,2744
B0103,01,002,District - Badgam,Urban,Literate,57384,37100,20284,20273,18726,1547,3918,2770,1148,2301,1759,542,33193,15604,17589,10056,4828,5228
B0103,01,002,District - Badgam,Urban,Literate but below matric/secondary,21635,12742,8893,3631,3404,227,1410,1034,376,746,620,126,16594,8304,8290,2561,1242,1319
B0103,01,002,District - Badgam,Urban,Matric/secondary but below graduate,21343,15167,6176,10277,9866,411,1194,829,365,766,576,190,9872,4472,5400,4256,2102,2154
B0103,01,002,District - Badgam,Urban,Technical diploma or certificate not equal to degree,471,324,147,201,181,20,28,16,12,16,12,4,242,127,115,95,57,38
B0103,01,002,District - Badgam,Urban,Graduate and above other than technical degree,4581,3108,1473,1927,1627,300,332,229,103,182,135,47,2322,1252,1070,1428,779,649
B0103,01,002,District - Badgam,Urban,Technical degree or diploma equal to degree or post-graduate degree,1059,603,456,480,368,112,49,26,23,25,14,11,530,209,321,330,144,186
B0103,01,003,District - Leh(Ladakh),Total,Total,133487,78971,54516,57125,44742,12383,17954,8523,9431,5863,2911,2952,58408,25706,32702,8812,3301,5511
B0103,01,003,District - Leh(Ladakh),Total,Illiterate,39717,16137,23580,9757,5016,4741,8234,2516,5718,2163,845,1318,21726,8605,13121,1200,212,988
B0103,01,003,District - Leh(Ladakh),Total,Literate,93770,62834,30936,47368,39726,7642,9720,6007,3713,3700,2066,1634,36682,17101,19581,7612,3089,4523
B0103,01,003,District - Leh(Ladakh),Total,Literate but below matric/secondary,40004,24967,15037,12407,10484,1923,5004,3109,1895,2128,1349,779,22593,11374,11219,2690,1270,1420
B0103,01,003,District - Leh(Ladakh),Total,Matric/secondary but below graduate,37196,26314,10882,24587,21002,3585,3008,1790,1218,1006,386,620,9601,3522,6079,3274,1099,2175
B0103,01,003,District - Leh(Ladakh),Total,Technical diploma or certificate not equal to degree,255,186,69,170,136,34,16,10,6,5,2,3,69,40,29,36,21,15
B0103,01,003,District - Leh(Ladakh),Total,Graduate and above other than technical degree,6180,3949,2231,3835,2833,1002,387,247,140,181,92,89,1958,869,1089,1006,436,570
B0103,01,003,District - Leh(Ladakh),Total,Technical degree or diploma equal to degree or post-graduate degree,1360,874,486,964,664,300,63,36,27,19,7,12,333,174,159,143,70,73
B0103,01,003,District - Leh(Ladakh),Rural,Total,87816,48411,39405,34098,24929,9169,14283,6000,8283,4847,2336,2511,39435,17482,21953,5856,2144,3712
B0103,01,003,District - Leh(Ladakh),Rural,Illiterate,31027,12349,18678,8448,4159,4289,7128,1968,5160,1754,638,1116,15451,6222,9229,842,129,713
B0103,01,003,District - Leh(Ladakh),Rural,Literate,56789,36062,20727,25650,20770,4880,7155,4032,3123,3093,1698,1395,23984,11260,12724,5014,2015,2999
B0103,01,003,District - Leh(Ladakh),Rural,Literate but below matric/secondary,29081,18196,10885,9403,7890,1513,4228,2539,1689,1841,1157,684,15450,7767,7683,1933,911,1022
B0103,01,003,District - Leh(Ladakh),Rural,Matric/secondary but below graduate,18760,11815,6945,11097,8888,2209,1717,764,953,824,288,536,5946,2163,3783,2147,697,1450
B0103,01,003,District - Leh(Ladakh),Rural,Technical diploma or certificate not equal to degree,123,93,30,80,67,13,13,7,6,5,2,3,30,19,11,16,12,4
B0103,01,003,District - Leh(Ladakh),Rural,Graduate and above other than technical degree,2761,1702,1059,1618,1160,458,215,123,92,115,56,59,928,419,509,506,226,280
B0103,01,003,District - Leh(Ladakh),Rural,Technical degree or diploma equal to degree or post-graduate degree,575,361,214,391,270,121,42,22,20,14,3,11,142,69,73,64,26,38
B0103,01,003,District - Leh(Ladakh),Urban,Total,45671,30560,15111,23027,19813,3214,3671,2523,1148,1016,575,441,18973,8224,10749,2956,1157,1799
B0103,01,003,District - Leh(Ladakh),Urban,Illiterate,8690,3788,4902,1309,857,452,1106,548,558,409,207,202,6275,2383,3892,358,83,275
B0103,01,003,District - Leh(Ladakh),Urban,Literate,36981,26772,10209,21718,18956,2762,2565,1975,590,607,368,239,12698,5841,6857,2598,1074,1524
B0103,01,003,District - Leh(Ladakh),Urban,Literate but below matric/secondary,10923,6771,4152,3004,2594,410,776,570,206,287,192,95,7143,3607,3536,757,359,398
B0103,01,003,District - Leh(Ladakh),Urban,Matric/secondary but below graduate,18436,14499,3937,13490,12114,1376,1291,1026,265,182,98,84,3655,1359,2296,1127,402,725
B0103,01,003,District - Leh(Ladakh),Urban,Technical diploma or certificate not equal to degree,132,93,39,90,69,21,3,3,0,0,0,0,39,21,18,20,9,11
B0103,01,003,District - Leh(Ladakh),Urban,Graduate and above other than technical degree,3419,2247,1172,2217,1673,544,172,124,48,66,36,30,1030,450,580,500,210,290
B0103,01,003,District - Leh(Ladakh),Urban,Technical degree or diploma equal to degree or post-graduate degree,785,513,272,573,394,179,21,14,7,5,4,1,191,105,86,79,44,35
B0103,01,004,District - Kargil,Total,Total,140802,77785,63017,28941,25174,3767,22932,14665,8267,13109,9134,3975,88929,37946,50983,16977,6776,10201
B0103,01,004,District - Kargil,Total,Illiterate,54566,21484,33082,3314,2111,1203,10650,5541,5109,5176,3081,2095,40602,13832,26770,4120,511,3609
B0103,01,004,District - Kargil,Total,Literate,86236,56301,29935,25627,23063,2564,12282,9124,3158,7933,6053,1880,48327,24114,24213,12857,6265,6592
B0103,01,004,District - Kargil,Total,Literate but below matric/secondary,46686,27503,19183,6362,5787,575,7381,5614,1767,4860,3882,978,32943,16102,16841,5537,2475,3062
