CleanArea,DistrictCode,Area,DistrictBroken,TotalPopulation2011,TotalMales2011,TotalFemales2011,TotalWorkers2011,TotalWorkersMale2011,TotalWorkersFemale2011,MainWorkers2011,MainWorkersMale2011,MainWorkersFemale2011,PerMainWorkers2011,PerMainMale2011,PerMainFemale2011,PerMainWorkersMale2011,PerMainWorkersFemale2011,Agriculture2011,Manufacturing2011,WholesaleRetail2011,Construction2011,Services2011,NonAgriculture2011,TotalPopulation2001,TotalMales2001,TotalFemales2001,TotalWorkers2001,TotalMaleWorkers2001,TotalFemaleWorkers2001,MainWorkersTotal2001,MainWorkersMale2001,MainWorkerFemale2001,PerMainWorkers2001,PerMainMale2001,PerMainFemale2001,PerMainWorkersMale2001,PerMainWorkersFemale2001,Agriculture2001,Manufacturing2001,WholesaleRetail2001,Construction2001,Services2001,NonAgriculture2001,PPChangeinMain,PPChangeinMainMale,PPChangeinMainFemale,PPChangeinFemaleParticipation,PPChangeAgriculture,PPChangeinManufacturing,PPChangeinWholesale,PPChangeinConstruction,PPChangeinServices
Nagpur,505,District - Nagpur ,0,4653570,2384975,2268595,1868623,1334446,534177,1654680,1224036,430644,88.55076706,91.72615452,80.61822205,73.97418232,26.02581768,32.46531051,15.56204221,11.19316122,9.449259071,31.33022699,67.53468949,4067637,2105314,1962323,1504269,1044303,459966,1271986,960009,311977,84.55841342,91.92820475,67.82610019,75.47323634,24.52676366,36.41352971,15.70371058,12.17843593,7.371779249,28.33254454,63.58647029,3.99235364,-0.202050221,12.79212186,1.499054021,-3.948219195,-0.141668368,-0.985274711,2.077479822,2.997682452
Bhandara,506,District - Bhandara ,0,1200334,605520,594814,596808,344195,252613,413511,262520,150991,69.28710741,76.27071863,59.77166654,63.48561465,36.51438535,69.36961774,7.640425527,4.258653337,3.937501058,14.79380234,30.63038226,1136146,573445,562701,684651,359989,324662,363723,235704,128019,53.12531494,65.47533397,39.43147027,64.80316065,35.19683935,66.28340798,12.31431611,5.198186532,3.627760686,12.57632869,33.71659202,16.16179247,10.79538466,20.34019627,1.317545996,3.086209759,-4.673890587,-0.939533195,0.309740372,2.217473652
Gondiya,507,District - Gondiya ,0,1322507,661554,660953,666089,383444,282645,434991,282172,152819,65.30523699,73.58884218,54.06746979,64.86846854,35.13153146,66.11056321,8.5445446,4.545841178,5.28516682,15.5138842,33.88943679,1200707,598834,601873,567915,319708,248207,393821,252776,141045,69.34506044,79.06464649,56.82555287,64.1855056,35.8144944,63.60097608,14.90194784,5.676436757,3.765924113,12.05471521,36.39902392,-4.039823453,-5.475804312,-2.758083071,-0.682962945,2.509587129,-6.357403239,-1.130595578,1.519242707,3.459168982
Gadchiroli,508,District - Gadchiroli ,0,1072942,541328,531614,584227,323453,260774,392803,239909,152894,67.23465365,74.1712088,58.6308451,61.07616286,38.92383714,79.33824334,2.283078286,2.240308755,2.058029088,14.08034053,20.66175666,970294,491101,479193,405261,237649,167612,333856,212160,121696,82.3804906,89.2745183,72.60578002,63.54835618,36.45164382,81.51059139,3.349348222,3.167233777,1.612371801,10.36045481,18.48940861,-15.14583694,-15.1033095,-13.97493492,2.472193317,-2.172348049,-1.066269936,-0.926925022,0.445657287,3.71988572
Chandrapur,509,District - Chandrapur ,0,2204307,1123834,1080473,1057781,648535,409246,804055,536732,267323,76.01337139,82.76068369,65.32085836,66.753145,33.246855,62.69135818,10.09731921,5.173526687,4.927647984,17.11014794,37.30864182,2071101,1062993,1008108,806028,515615,290413,685269,473528,211741,85.01801426,91.83751442,72.9103036,69.10103915,30.89896085,60.89506457,11.90058211,6.114095341,4.445845354,16.64441263,39.10493543,-9.004642875,-9.07683073,-7.589445243,2.347894158,1.796293612,-1.803262894,-0.940568654,0.48180263,0.465735306
Yavatmal,510,District - Yavatmal ,0,2772348,1419965,1352383,1356794,815961,540833,1196248,744391,451857,88.1672531,91.22874745,83.54834117,62.22714688,37.77285312,79.39131351,3.288364954,3.654676957,2.49036989,11.17527469,20.60868649,2458271,1265681,1192590,981530,629722,351808,951071,614361,336710,96.89678359,97.56066963,95.70845461,64.59675461,35.40324539,76.97006848,4.928548973,4.945161823,2.800632129,10.35558859,23.02993152,-8.729530495,-6.331922176,-12.16011344,2.369607727,2.421245026,-1.640184018,-1.290484866,-0.31026224,0.819686098
Nanded,511,District - Nanded ,0,3361292,1730075,1631217,1494315,925581,568734,1317751,850621,467130,88.18428511,91.90130307,82.13505787,64.550966,35.449034,72.93707233,3.905441923,4.84674267,3.842455821,14.46828726,27.06292767,2876259,1481358,1394901,1107762,705159,402603,961284,640019,321265,86.77712361,90.76236707,79.79697121,66.57959562,33.42040438,73.36385501,5.605731501,5.788195788,2.584251896,12.6579658,26.63614499,1.407161501,1.138936004,2.338086656,2.028629622,-0.426782681,-1.700289577,-0.941453118,1.258203924,1.810321452
Hingoli,512,District - Hingoli ,0,1177345,606294,571051,568129,330109,238020,513496,307713,205783,90.38369807,93.21557425,86.45618015,59.92510166,40.07489834,83.09353919,2.502064281,2.898756758,2.144709988,9.360929783,16.90646081,987160,505373,481787,539110,294117,244993,412428,242663,169765,76.50164159,82.50560151,69.29381656,58.83766379,41.16233621,84.43097947,3.448359471,3.690098635,1.298165983,7.132396443,15.56902053,13.88205647,10.70997274,17.16236359,-1.08743787,-1.337440278,-0.94629519,-0.791341878,0.846544005,2.228533341
Parbhani,513,District - Parbhani ,0,1836086,942870,893216,823733,502075,321658,756817,473578,283239,91.87649396,94.32415476,88.05594762,62.57496859,37.42503141,75.70826237,3.28401714,4.411370252,3.732474297,12.86387594,24.29173763,1527715,780191,747524,610436,377969,232467,559341,361083,198258,91.62975316,95.53243785,85.28436294,64.55507463,35.44492537,75.80402652,4.463824393,5.578707801,2.457892413,11.69554887,24.19597348,0.246740801,-1.208283088,2.77158468,1.980106047,-0.095764157,-1.179807253,-1.167337549,1.274581884,1.168327074
Jalna,514,District - Jalna ,0,1959046,1011473,947573,930825,545154,385671,843975,508046,335929,90.66956732,93.19311607,87.10247854,60.19680678,39.80319322,78.65102639,3.832104032,3.79442519,2.642258361,11.08018602,21.34897361,1612980,826903,786077,745958,439734,306224,607368,380444,226924,81.42120602,86.51684882,74.10392392,62.63813701,37.36186299,79.12764584,5.25628614,4.482949382,2.013606249,9.119512388,20.87235416,9.2483613,6.676267251,12.99855461,2.441330233,-0.476619449,-1.424182108,-0.688524191,0.628652112,1.960673637
Aurangabad,515,District - Aurangabad ,0,3701282,1924469,1776813,1574240,1015083,559157,1445617,957618,487999,91.82951774,94.33888657,87.2740572,66.24285686,33.75714314,61.03739787,9.967508683,5.903638377,5.41478137,17.6766737,38.96260213,2897013,1505363,1391650,1065140,700954,364186,1022473,685831,336642,95.9942355,97.84251178,92.43683173,67.07570762,32.92429238,61.86305164,9.907547681,7.003412315,5.166199988,16.05978838,38.13694836,-4.164717764,-3.503625203,-5.162774532,0.832850766,-0.825653768,0.059961002,-1.099773938,0.248581382,1.616885321
Nashik,516,District - Nashik ,0,6107187,3157186,2950001,2764628,1747839,1016789,2524102,1641175,882927,91.29987832,93.89737842,86.83483004,65.0201537,34.9798463,61.65139127,11.96239296,5.570773289,3.773223111,17.04221937,38.34860873,4993796,2590912,2402884,1997605,1293265,704340,1904160,1260121,644039,95.32214827,97.43718418,91.43865179,66.17726452,33.82273548,62.05618225,12.43850307,6.430394505,3.720433157,15.35448702,37.94381775,-4.022269953,-3.539805761,-4.603821749,1.157110813,-0.404790987,-0.476110105,-0.859621216,0.052789954,1.687732354
Thane,517,District - Thane ,0,11060148,5865078,5195070,4492624,3363345,1129279,3930389,3059739,870650,87.48537603,90.97309375,77.0978651,77.84824861,22.15175139,14.67279702,27.46142939,11.68525558,6.181143902,39.99937411,85.32720298,8131849,4377747,3754102,3043803,2379968,663835,2795454,2268695,526759,91.84083201,95.324601,79.35089292,81.15658494,18.84341506,18.51201987,30.71007428,12.9377196,5.320674209,32.51951204,81.48798013,-4.355455982,-4.351507253,-2.25302782,3.308336333,-3.839222854,-3.248644895,-1.252464016,0.860469693,7.479862071
Mumbai Suburban,518,District - Mumbai Suburban ,0,9356962,5031323,4325639,3735493,2943583,791910,3515744,2810804,704940,94.11726913,95.48920482,89.0176914,79.94905204,20.05094796,1.030023802,25.63434653,15.0915425,7.127054757,51.11703241,98.9699762,8640419,4741720,3898699,2955436,2474139,481297,2836490,2413204,423286,95.97534848,97.53712302,87.94694336,85.07711996,14.92288004,0.908658236,29.94362751,18.15349252,6.738962591,44.25525914,99.09134176,-1.85807935,-2.047918192,1.070748041,5.128067926,0.121365565,-4.309280983,-3.061950019,0.388092166,6.861773271
Mumbai,519,District - Mumbai ,0,3085411,1684608,1400803,1283984,1020249,263735,1208177,974168,234009,94.09595447,95.48335749,88.72883766,80.63123201,19.36876799,0.980982091,21.06231123,18.29839502,4.777776766,54.88053489,99.01901791,3338031,1878246,1459785,1352738,1114822,237916,1250851,1067068,183783,92.46809064,95.71644621,77.24701155,85.30736275,14.69263725,0.72198847,26.004696,20.70334516,3.892070279,48.67790009,99.27801153,1.627863824,-0.233088719,11.48182611,4.676130734,0.258993621,-4.942384769,-2.404950143,0.885706488,6.202634803
Raigarh,520,District - Raigarh ,0,2634200,1344345,1289855,1074105,754460,319645,860174,642620,217554,80.08285968,85.17615248,68.06113032,74.70814045,25.29185955,34.86759656,17.6301539,7.400130671,6.195723191,33.90639568,65.13240344,2207929,1117628,1090301,809601,548691,260910,661532,481974,179558,81.71086745,87.84069722,68.81989958,72.85724651,27.14275349,45.18965069,17.52870609,8.414256604,5.069747193,23.79763942,54.81034931,-1.628007769,-2.664544743,-0.758769266,-1.850893933,-10.32205413,0.101447805,-1.014125933,1.125975998,10.10875626
Pune,521,District - Pune ,0,9429408,4924105,4505303,4051829,2812888,1238941,3753324,2661075,1092249,92.63283322,94.602949,88.15988816,70.89915499,29.10084501,32.42768277,18.35301189,8.124851465,7.560365159,33.53408872,67.57231723,7232555,3769128,3463427,2786967,1938503,848464,2641521,1882056,759465,94.78120839,97.08811387,89.5105744,71.24895089,28.75104911,39.2522717,17.13641497,9.200267573,7.253661811,27.15738395,60.7477283,-2.148375167,-2.485164872,-1.35068624,0.3497959,-6.824588934,1.216596923,-1.075416108,0.306703348,6.37670477
Ahmadnagar,522,District - Ahmadnagar ,0,4543159,2342825,2200334,2203832,1299422,904410,2038759,1226433,812326,92.50972851,94.38296412,89.8183346,60.15585952,39.84414048,72.83038358,5.844781065,4.079001,2.541398959,14.70443539,27.16961642,4040642,2083053,1957589,1715352,1055976,659376,1611066,1012502,598564,93.92043149,95.88305037,90.777341,62.84671143,37.15328857,71.74119496,8.12176534,5.223435911,2.386246125,12.52735766,28.25880504,-1.410702982,-1.500086254,-0.959006396,2.690851912,1.089188621,-2.276984275,-1.144434911,0.155152834,2.177077732
Bid,523,District - Bid ,0,2585049,1349106,1235943,1255390,727109,528281,1153999,683245,470754,91.92354567,93.9673419,89.11053019,59.20672375,40.79327625,79.11263355,3.108841515,3.174526148,2.3218391,12.28215969,20.88736645,2161250,1116356,1044894,966145,567780,398365,829061,503859,325202,85.81123951,88.7419423,81.63417971,60.77465952,39.22534048,78.56611275,4.518605989,4.269408403,2.19235979,10.45351307,21.43388725,6.112306157,5.225399596,7.476350482,1.567935775,0.5465208,-1.409764474,-1.094882255,0.12947931,1.828646619
Latur,524,District - Latur ,0,2454196,1273140,1181056,1046754,670178,376576,964702,633971,330731,92.161291,94.59740547,87.82583064,65.71677057,34.28322943,72.22582725,4.060943172,4.892909935,3.727575977,15.09274367,27.77417275,2080285,1075257,1005028,760026,514055,245971,713050,493523,219527,93.81915882,96.00587486,89.24913913,69.21295842,30.78704158,71.94530538,5.54337003,6.276979174,3.104831358,13.12951406,28.05469462,-1.657867818,-1.408469392,-1.423308484,3.496187851,0.280521872,-1.482426858,-1.384069239,0.622744619,1.963229607
