CleanArea,DistrictCode,Area,DistrictBroken,TotalPopulation2011,TotalMales2011,TotalFemales2011,TotalWorkers2011,TotalWorkersMale2011,TotalWorkersFemale2011,MainWorkers2011,MainWorkersMale2011,MainWorkersFemale2011,PerMainWorkers2011,PerMainMale2011,PerMainFemale2011,PerMainWorkersMale2011,PerMainWorkersFemale2011,Agriculture2011,Manufacturing2011,WholesaleRetail2011,Construction2011,Services2011,NonAgriculture2011,TotalPopulation2001,TotalMales2001,TotalFemales2001,TotalWorkers2001,TotalMaleWorkers2001,TotalFemaleWorkers2001,MainWorkersTotal2001,MainWorkersMale2001,MainWorkerFemale2001,PerMainWorkers2001,PerMainMale2001,PerMainFemale2001,PerMainWorkersMale2001,PerMainWorkersFemale2001,Agriculture2001,Manufacturing2001,WholesaleRetail2001,Construction2001,Services2001,NonAgriculture2001,PPChangeinMain,PPChangeinMainMale,PPChangeinMainFemale,PPChangeinFemaleParticipation,PPChangeAgriculture,PPChangeinManufacturing,PPChangeinWholesale,PPChangeinConstruction,PPChangeinServices
Kupwara,1,District - Kupwara ,0,870354,474190,396164,227698,189520,38178,122975,110720,12255,54.00794034,58.4212748,32.09963854,90.03455987,9.96544013,22.37446635,2.875381175,4.514738768,2.855865013,67.37954869,77.62553365,650393,341303,309090,146789,126490,20299,130841,117456,13385,89.13542568,92.85793343,65.93920883,89.77002622,10.22997378,49.70689616,5.126069046,4.268539678,1.48118709,39.41730803,50.29310384,-35.12748534,-34.43665863,-33.83957029,-0.264533655,-27.3324298,-2.250687871,0.24619909,1.374677924,27.96224066
Badgam,2,District - Badgam ,0,753745,398041,355704,213597,161277,52320,131126,115872,15254,61.38943899,71.84657453,29.15519878,88.36691427,11.63308573,37.88569773,17.39548221,6.129219224,4.18910056,34.40050028,62.11430227,629309,326050,303259,340832,207937,132895,153402,130182,23220,45.00809783,62.60646253,17.47244065,84.86330035,15.13669965,45.52678583,22.22526434,5.296541114,3.142071159,23.80933756,54.47321417,16.38134116,9.240111993,11.68275813,-3.503613918,-7.641088105,-4.82978213,0.83267811,1.0470294,10.59116272
Leh (Ladakh),3,District - Leh(Ladakh) ,0,133487,78971,54516,79102,57367,21735,61120,48697,12423,77.26732573,84.8867816,57.15665977,79.67441099,20.32558901,20.96531414,1.315445026,2.653795812,1.567408377,73.49803665,79.03468586,117232,64306,52926,129016,89963,39053,39237,28599,10638,30.41250698,31.78973578,27.23990474,72.88783546,27.11216454,35.27792645,3.789790249,3.973290517,3.150087927,53.80890486,64.72207355,46.85481876,53.09704582,29.91675502,-6.786575533,-14.31261231,-2.474345223,-1.319494705,-1.58267955,19.68913179
Kargil,4,District - Kargil ,0,140802,77785,63017,50743,38605,12138,27770,23990,3780,54.72676034,62.14220956,31.14186851,86.38818869,13.61181131,9.884767735,1.227943824,3.150882247,3.377745769,82.35866042,90.11523227,119307,64955,54352,217352,109370,107982,40624,28512,12112,18.69041923,26.06930603,11.21668426,70.18511225,29.81488775,39.21573454,1.408034659,2.924379677,7.192792438,49.25905868,60.78426546,36.03634111,36.07290353,19.92518425,-16.20307644,-29.33096681,-0.180090835,0.22650257,-3.815046669,33.09960174
Punch,5,District - Punch ,0,476835,251899,224936,162975,119003,43972,74163,64150,10013,45.50575242,53.90620405,22.77130901,86.49865836,13.50134164,34.70868223,2.24370643,3.362862883,3.468036622,56.21671184,65.29131777,372613,194213,178400,369291,164191,205100,82670,68891,13779,22.38613993,41.95784178,6.718186251,83.33252691,16.66747309,68.1504778,4.560299988,3.419620177,2.80996734,21.05963469,31.8495222,23.11961249,11.94836226,16.05312276,-3.166131446,-33.44179558,-2.316593557,-0.056757293,0.658069282,35.15707715
Rajouri,6,District - Rajouri ,0,642415,345351,297064,293503,187184,106319,132390,112425,19965,45.10686433,60.06122318,18.77839333,84.91955586,15.08044414,42.33854521,2.658811088,3.46853992,3.331067301,48.20303648,57.66145479,483284,257336,225948,323046,184648,138398,117301,106041,11260,36.31092786,57.42872926,8.135955722,90.40076385,9.599236153,59.87246486,3.315402256,3.463738587,2.220782432,31.12761187,40.12753514,8.79593647,2.632493924,10.6424376,5.481207989,-17.53391965,-0.656591167,0.004801333,1.11028487,17.07542461
Kathua,7,District - Kathua ,0,616435,326109,290326,200887,162147,38740,143813,124362,19451,71.58900277,76.69707118,50.20908622,86.47479713,13.52520287,43.13587784,5.751913944,7.278896901,5.913234548,37.92007677,56.86412216,550084,289391,260693,423912,211568,212344,162839,128156,34683,38.41339712,60.57437798,16.3334024,78.70104827,21.29895173,56.05659578,5.631943208,4.985906325,4.672099436,28.65345525,43.94340422,33.17560565,16.1226932,33.87568381,-7.773748858,-12.92071794,0.119970736,2.292990576,1.241135112,9.266621513
Baramula,8,District - Baramula ,Y,1008039,534733,473306,301795,247590,54205,185075,167112,17963,61.3247403,67.4954562,33.13900932,90.29420505,9.705794948,30.27259219,8.035661218,8.487369985,4.034040254,49.17033635,69.72740781,1169780,614816,554964,276407,231881,44526,269708,229102,40606,97.57640002,98.80154045,91.19615506,84.94445845,15.05554155,44.78065167,16.38364453,7.150696309,2.276906877,29.40810061,55.21934833,-4.509391337,-6.125177814,-2.97976482,-4.069314762,-13.59358316,-5.821742082,0.663494299,1.746858366,17.00497258
Bandipore,9,District - Bandipore ,Y,392232,207680,184552,148688,100894,47794,74632,64063,10569,50.19369418,63.49535156,22.11365443,85.83851431,14.16148569,33.45481831,16.82656233,6.144817237,3.998284918,39.5755172,66.54518169,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-4.509391337,-6.125177814,-2.97976482,-4.069314762,-13.59358316,-5.821742082,0.663494299,1.746858366,17.00497258
Srinagar,10,District - Srinagar ,Y,1236829,651124,585705,407511,333106,74405,330806,289824,40982,81.17719522,87.00653846,55.07963175,87.61147017,12.38852983,6.510160033,12.82866695,20.86207626,7.180039056,52.6190577,93.48983997,1202447,649491,552956,532075,370112,161963,323196,290531,32665,60.74256449,78.4981303,20.16818656,89.89312987,10.10687013,10.73404374,19.58749489,16.23658709,4.637433632,48.80444065,89.26595626,-1.69978415,-2.869969191,0.620264171,2.134203004,-1.365822691,-6.818860703,2.411324155,2.485158303,3.288200936
Ganderbal,11,District - Ganderbal ,Y,297446,158720,138726,103008,75578,27430,55500,49194,6306,53.87931034,65.09037021,22.98942763,88.63783784,11.36216216,26.4036036,12.41081081,5.45045045,6.78018018,48.95495495,73.5963964,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.69978415,-2.869969191,0.620264171,2.134203004,-1.365822691,-6.818860703,2.411324155,2.485158303,3.288200936
Pulwama,12,District - Pulwama ,Y,560440,293064,267376,189140,139349,49791,98902,89748,9154,52.29036692,64.40519846,18.38484867,90.74437322,9.255626782,29.54035308,9.728822471,8.837030596,3.241592688,48.65220117,70.45964692,652607,335544,317063,398189,220320,177869,149014,133513,15501,37.42293233,60.59958243,8.714840697,89.5976217,10.4023783,56.12023031,8.83474036,6.117546002,1.977666528,26.9498168,43.87976969,-4.348187771,-7.66850704,-1.153202426,-0.694307546,-14.60358557,-0.683494704,1.554022144,0.42006662,13.31299151
Shupiyan,13,District - Shupiyan ,Y,266215,136480,129735,86966,63295,23671,53909,48228,5681,61.98859324,76.19559207,23.99983102,89.46187093,10.53812907,63.48847131,5.257007179,5.533398876,0.849579848,24.87154279,36.51152869,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-4.348187771,-7.66850704,-1.153202426,-0.694307546,-14.60358557,-0.683494704,1.554022144,0.42006662,13.31299151
Anantnag,14,District - Anantnag ,Y,1078692,559767,518925,388129,242964,145165,175508,157390,18118,45.21898647,64.77914424,12.48096993,89.67682385,10.32317615,36.78350844,7.313626729,11.01260341,4.604918294,40.28534312,63.21649156,1172434,610007,562427,501826,327245,174581,264845,234274,30571,52.77626109,71.58978747,17.51106936,88.45702203,11.54297797,54.10032283,9.648662425,6.505314429,1.632275482,28.11342483,45.89967717,-5.762082265,-9.176319093,-1.891539761,-1.37388849,-13.49908065,-1.844532641,3.430125571,2.331068038,9.582419685
Kulgam,15,District - Kulgam ,Y,424483,217620,206863,159923,102087,57836,77435,69831,7604,48.42017721,68.40342061,13.14752058,90.18015109,9.819848906,49.25421321,8.915864919,7.494027249,2.509201266,31.82669336,50.74578679,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-5.762082265,-9.176319093,-1.891539761,-1.37388849,-13.49908065,-1.844532641,3.430125571,2.331068038,9.582419685
Doda,16,District - Doda ,Y,409936,213641,196295,150992,100263,50729,78324,67310,11014,51.87294691,67.13343906,21.7114471,85.93789898,14.06210102,39.4885348,2.595628415,4.680557683,9.708390787,43.52688831,60.5114652,691929,363526,328403,535850,263837,272013,198239,148122,50117,36.99524121,56.14148129,18.42448706,74.71889991,25.28110009,68.05119073,2.789562094,2.802173134,3.177477691,23.17959635,31.94880927,-9.671565769,-9.642752004,-9.547501565,-10.90540179,-21.42351442,-0.601199917,1.445723439,4.191927421,16.38706348
Ramban,17,District - Ramban ,Y,283713,149132,134581,88124,69318,18806,52857,47236,5621,59.9802551,68.14391644,29.889397,89.36564693,10.63435307,50.88067806,2.315681934,4.21325463,6.96785667,35.62252871,49.11932194,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-9.671565769,-9.642752004,-9.547501565,-10.90540179,-21.42351442,-0.601199917,1.445723439,4.191927421,16.38706348
Kishtwar,18,District - Kishtwar ,Y,230696,120165,110531,82423,56276,26147,44247,35663,8584,53.68283125,63.37159713,32.82977015,80.59981468,19.40018532,54.18446448,1.315343413,3.523402717,3.708726015,37.26806337,45.81553552,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-9.671565769,-9.642752004,-9.547501565,-10.90540179,-21.42351442,-0.601199917,1.445723439,4.191927421,16.38706348
Udhampur,19,District - Udhampur ,Y,554985,296784,258201,242526,162510,80016,151299,126408,24891,62.38465154,77.78475171,31.10752849,83.54847025,16.45152975,45.13909543,3.418396685,6.359592595,6.193034984,38.8898803,54.86090457,743509,399686,343823,538302,289284,249018,253747,206716,47031,47.13840929,71.45780617,18.88658651,81.46539664,18.53460336,59.7209031,2.189188444,3.893642092,2.570670786,31.62559557,40.2790969,-6.583146421,-8.335213654,-4.188108369,-2.432961516,-7.811674435,0.525101445,1.831747915,2.723488606,2.731336469
Reasi,20,District - Reasi ,Y,314667,166461,148206,144477,88489,55988,88248,74568,13680,61.08100251,84.26810112,24.43380724,84.49823225,15.50176775,63.51645363,1.507116309,4.638065452,3.753059559,26.58530505,36.48354637,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-6.583146421,-8.335213654,-4.188108369,-2.432961516,-7.811674435,0.525101445,1.831747915,2.723488606,2.731336469
Jammu,21,District - Jammu ,Y,1529958,813821,716137,510460,418920,91540,411794,353138,58656,80.67115935,84.29724052,64.07690627,85.75598479,14.24401521,18.67827117,7.465626017,13.44458637,5.665696926,54.74581951,81.32172883,1588772,850302,738470,769057,510138,258919,438197,391526,46671,56.97848144,76.74903654,18.02532838,89.34931093,10.65068907,24.5834636,7.498225684,11.23444478,7.28850266,49.39536327,75.4165364,-1.285141029,-3.22064435,1.212570491,2.765399949,-5.110851141,0.727909207,1.479626428,-1.398176231,4.301491737
Samba,22,District - Samba ,Y,318898,169124,149774,92841,82297,10544,74376,67807,6569,80.11115779,82.39303984,62.3008346,91.16784984,8.832150156,23.87060342,12.43680757,8.669463268,7.134021727,47.88910401,76.12939658,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.285141029,-3.22064435,1.212570491,2.765399949,-5.110851141,0.727909207,1.479626428,-1.398176231,4.301491737
Chamba,23,District - Chamba ,0,519080,261320,257760,295660,160146,135514,120999,88607,32392,40.92504904,55.32888739,23.90306537,73.22953082,26.77046918,48.85412276,3.651269845,4.360366615,10.24471277,32.88952801,51.14587724,460887,235218,225669,420808,229607,191201,125657,92501,33156,29.86088668,40.28666373,17.34091349,73.61388542,26.38611458,61.07419404,3.087770677,3.1999809,3.500003979,29.13805041,38.92580596,11.06416237,15.04222366,6.562151877,0.384354596,-12.22007127,0.563499168,1.160385714,6.744708787,3.751477606
Kangra,24,District - Kangra ,0,1510075,750591,759484,675194,403481,271713,314756,246059,68697,46.61712041,60.98403642,25.28292721,78.17452249,21.82547751,28.03314313,8.170773552,9.411734804,10.91003825,43.47431026,71.96685687,1339030,661254,677776,658868,385410,273458,333438,240684,92754,50.60770898,62.44882074,33.91891991,72.18253468,27.81746532,49.03700238,8.817831201,6.833954138,6.606325614,28.70488667,50.96299762,-3.990588567,-1.464784313,-8.635992701,-5.991987803,-21.00385925,-0.647057649,2.577780666,4.303712638,14.76942359
Lahul & Spiti,25,District - Lahul & Spiti ,0,31564,16588,14976,19295,10763,8532,15190,8732,6458,78.72505831,81.12979653,75.6915143,57.48518762,42.51481238,61.65898618,0.737327189,1.402238315,7.478604345,28.72284398,38.34101382,33224,18441,14783,272258,110413,161845,18702,11651,7051,6.869219637,10.55219947,4.356637524,62.29814993,37.70185007,55.11175275,0.962463908,0.427761737,10.26628168,33.23173992,44.88824725,71.85583867,70.57759706,71.33487678,4.812962307,6.547233421,-0.225136719,0.974476578,-2.787677336,-4.508895945
Kullu,26,District - Kullu ,0,437903,225452,212451,268637,148612,120025,193453,118803,74650,72.01279049,79.94172745,62.19537596,61.41181579,38.58818421,73.51191245,2.180374561,3.732172672,4.260466367,16.31507395,26.48808755,381571,198016,183555,432453,197805,234648,164924,98457,66467,38.13686112,49.77477819,28.32625891,59.69840654,40.30159346,75.93012539,2.939535786,3.326380636,2.832819966,14.97113822,24.06987461,33.87592938,30.16694926,33.86911706,-1.713409251,-2.418212937,-0.759161225,0.405792037,1.427646401,1.343935724
Mandi,27,District - Mandi ,0,999777,498065,501712,573416,298014,275402,284333,185805,98528,49.58581553,62.34774205,35.77606553,65.34767333,34.65232667,55.27005307,4.033298984,4.680427527,7.016420887,28.99979953,44.72994693,901344,447872,453472,584727,289908,294819,266176,173637,92539,45.52141427,59.89382839,31.38841119,65.23390539,34.76609461,63.14168069,4.674726497,3.988714234,4.087521039,24.10735754,36.85831931,4.064401267,2.453913665,4.387654339,-0.113767941,-7.871627621,-0.641427513,0.691713293,2.928899848,4.892441993
Hamirpur,28,District - Hamirpur ,0,454768,217070,237698,241779,118755,123024,126190,75345,50845,52.19229131,63.44574965,41.32933411,59.7075838,40.2924162,47.16459307,5.08915128,6.717647991,9.676678025,31.35192963,52.83540693,412700,196593,216107,355691,149940,205751,125763,74622,51141,35.3573748,49.76790716,24.85577227,59.33541662,40.66458338,55.93298506,6.07412355,6.180673171,8.446045339,23.36617288,44.06701494,16.83491651,13.67784249,16.47356185,-0.372167185,-8.768391985,-0.98497227,0.53697482,1.230632686,7.985756749
Una,29,District - Una ,0,521173,263692,257481,215878,141734,74144,134861,105964,28897,62.47093266,74.76258343,38.97415839,78.57275269,21.42724731,34.42136719,15.59828268,8.80907008,9.866455091,31.30482497,65.57863281,448273,224524,223749,342198,178377,163821,115576,89663,25913,33.77459833,50.26600963,15.81787439,77.57925521,22.42074479,50.05624005,10.86298193,8.041461895,6.330033917,24.7092822,49.94375995,28.69633432,24.4965738,23.15628401,-0.993497477,-15.63487286,4.735300742,0.767608184,3.536421174,6.595542764
Bilaspur,30,District - Bilaspur ,0,381956,192764,189192,205808,111098,94710,103306,73086,30220,50.19532768,65.78516265,31.90792947,70.74710085,29.25289915,42.01304861,7.79335179,6.419762647,7.883375603,35.89046135,57.98695139,340885,171263,169622,340442,153764,186678,110241,68868,41373,32.38172728,44.78811685,22.16276155,62.47040575,37.52959425,62.28172821,5.527888898,4.534610535,4.516468465,23.13930389,37.71827179,17.8136004,20.99704579,9.745167922,-8.276695099,-20.2686796,2.265462892,1.885152112,3.366907138,12.75115746
Solan,31,District - Solan ,0,580320,308754,271566,300028,191533,108495,220214,159592,60622,73.3978162,83.32350039,55.87538596,72.47132335,27.52867665,40.01471296,17.73456728,5.057807406,4.91249421,32.28041814,59.98528704,500557,270291,230266,408159,219357,188802,166557,132505,34052,40.80689143,60.406096,18.03582589,79.55534742,20.44465258,42.20657192,17.45528558,5.518831391,6.817485906,28.0018252,57.79342808,32.59092477,22.91740439,37.83956007,7.084024069,-2.191858963,0.279281707,-0.461023986,-1.904991696,4.278592938
Sirmaur,32,District - Sirmaur ,0,529855,276289,253566,279684,169005,110679,193987,134790,59197,69.35934841,79.75503683,53.48530435,69.48403759,30.51596241,64.08522221,8.993386155,3.053812884,4.750833819,19.11674494,35.91477779,458593,241299,217294,481223,221571,259652,176946,119026,57920,36.77006294,53.71912389,22.30677984,67.26684977,32.73315023,70.01514586,8.790817538,3.007132119,3.031433319,15.15547116,29.98485414,32.58928546,26.03591294,31.1785245,-2.217187817,-5.929923658,0.202568617,0.046680765,1.7194005,3.961273776
Shimla,33,District - Shimla ,0,814010,425039,388971,430853,258577,172276,311394,214716,96678,72.27383818,83.03754781,56.11808958,68.95315902,31.04684098,57.35049487,2.566844576,4.300339762,5.1218071,30.66051369,42.64950513,722502,380996,341506,599682,317608,282074,313426,203035,110391,52.26536731,63.92628649,39.13547509,64.77924614,35.22075386,61.18126767,2.725364201,3.857369842,3.661151277,28.57484701,38.81873233,20.00847087,19.11126132,16.98261449,-4.173912883,-3.830772796,-0.158519624,0.442969921,1.460655823,2.085666677
Kinnaur,34,District - Kinnaur ,0,84121,46249,37872,56342,33986,22356,46863,29965,16898,83.17596109,88.16865768,75.58597245,63.94170241,36.05829759,60.02816721,2.462497066,1.758316796,11.75767663,23.9933423,39.97183279,78334,42173,36161,43737,26685,17052,40144,25040,15104,91.78498754,93.8354881,88.5761201,62.37544839,37.62455161,63.15763252,2.553308091,3.014149063,4.110203268,27.16470705,36.84236748,-8.609026444,-5.666830419,-12.99014766,-1.566254023,-3.129465312,-0.090811025,-1.255832268,7.647473364,-3.171364759
Gurdaspur,35,District - Gurdaspur ,0,2298323,1212617,1085706,760118,640003,120115,628840,550867,77973,82.72926046,86.07256528,64.91528951,87.60050251,12.39949749,35.26715858,9.624705808,9.944660009,10.87144584,34.29202977,64.73284142,2104011,1113077,990934,568497,500532,67965,562985,498110,64875,99.03042584,99.51611485,95.45354226,88.4766024,11.5233976,36.52655044,11.9511177,11.4296118,6.587742125,33.50497793,63.47344956,-16.30116539,-13.44354957,-30.53825275,0.876099884,-1.259391863,-2.326411895,-1.484951792,4.283703712,0.787051839
Kapurthala,36,District - Kapurthala ,0,815168,426311,388857,286391,238002,48389,250091,214975,35116,87.32502069,90.32487122,72.57021224,85.95871103,14.04128897,36.75182234,13.6222415,10.18189379,10.17149757,29.27254479,63.24817766,754521,399623,354898,238227,198205,40022,232496,195723,36773,97.59431131,98.74776116,91.88196492,84.1833838,15.8166162,40.20456266,17.78912325,11.0247058,7.33776065,23.64384764,59.79543734,-10.26929062,-8.422889937,-19.31175268,-1.775327229,-3.452740322,-4.16688175,-0.842812011,2.833736925,5.628697158
Jalandhar,37,District - Jalandhar ,0,2193590,1145211,1048379,774513,639599,134914,689594,586728,102866,89.03581993,91.73372691,76.24560831,85.08310687,14.91689313,21.52947966,18.92867397,13.52462463,11.90352584,34.11369588,78.47052034,1962700,1040177,922523,604488,517585,86903,596556,514462,82094,98.68781514,99.39662084,94.46624397,86.23867667,13.76132333,26.7124964,20.99685528,14.32774123,8.650654758,29.31225233,73.2875036,-9.651995215,-7.662893932,-18.22063566,1.155569799,-5.183016731,-2.068181309,-0.8031166,3.252871084,4.801443556
Hoshiarpur,38,District - Hoshiarpur ,0,1586625,809057,777568,499734,412545,87189,410856,351923,58933,82.21493835,85.30536063,67.59224214,85.65604494,14.34395506,35.23472944,12.51484705,10.76484218,11.9978776,29.48770372,64.76527056,1480736,765132,715604,414550,342327,72223,413202,341845,71357,99.67482813,99.85919895,98.80093599,82.7307225,17.2692775,42.89040227,13.83633187,11.43484301,6.747547205,25.09087565,57.10959773,-17.45988978,-14.55383833,-31.20869385,-2.925322437,-7.65567283,-1.321484816,-0.670000823,5.250330397,4.396828072
Shahid Bhagat Singh Nagar,39,District - Shahid Bhagat Singh Nagar ,Y,612310,313291,299019,203940,170038,33902,173577,150399,23178,85.11179759,88.45022877,68.36764793,86.64684837,13.35315163,36.73816231,12.82543194,9.162504249,16.1069727,25.1669288,63.26183769,587468,306902,280566,242819,162123,80696,236577,159580,76997,97.42936096,98.43143786,95.41612967,67.45372543,32.54627457,57.49079581,11.02727653,7.944136581,7.835926569,15.70186451,42.50920419,-12.31756338,-9.981209087,-27.04848175,-19.19312295,-20.75263349,1.798155409,1.218367668,8.271046129,9.465064289
Fatehgarh Sahib,40,District - Fatehgarh Sahib ,0,600163,320795,279368,214206,182359,31847,192591,167827,24764,89.90924624,92.03110348,77.75928659,87.1416629,12.8583371,36.36981998,21.43298493,9.134383227,8.717956706,24.34485516,63.63018002,538041,290137,247904,181903,147945,33958,180193,147104,33089,99.05993854,99.43154551,97.44095648,81.63691153,18.36308847,48.41198049,16.74759841,9.579728402,5.180001443,20.08069126,51.58801951,-9.150692299,-7.400442024,-19.68166989,-5.504751368,-12.04216051,4.685386518,-0.445345176,3.537955263,4.264163901
Ludhiana,41,District - Ludhiana ,0,3498739,1867816,1630923,1284136,1052754,231382,1137298,968276,169022,88.56522985,91.97552325,73.04889749,85.1382839,14.8617161,21.59354892,27.01631411,13.0572638,7.087148663,31.24572452,78.40645108,3032831,1662716,1370115,1047352,874296,173056,1043738,872829,170909,99.65493931,99.83220786,98.75936113,83.62529677,16.37470323,27.13966532,29.53404015,13.31924295,4.905733048,25.10131853,72.86033468,-11.08970946,-7.85668461,-25.71046364,-1.512987128,-5.546116398,-2.517726046,-0.261979156,2.181415615,6.144405985
Moga,42,District - Moga ,0,995746,525920,469826,359391,292033,67358,304576,258934,45642,84.74780949,88.66600692,67.76032543,85.01457764,14.98542236,52.43814352,9.051927926,8.783357848,6.440428661,23.28614205,47.56185648,894854,474139,420715,312313,237662,74651,303011,234715,68296,97.02157771,98.7600037,91.48705309,77.46088426,22.53911574,60.7644607,11.1319391,8.51883265,2.791647828,16.79311972,39.2355393,-12.27376822,-10.09399678,-23.72672766,-7.553693384,-8.326317179,-2.080011178,0.264525199,3.648780834,6.493022325
Firozpur,43,District - Firozpur ,0,2029074,1071637,957437,753144,592914,160230,614770,538130,76640,81.62715231,90.76021143,47.83124259,87.53354913,12.46645087,54.44963157,7.686451844,9.720708558,5.914732339,22.22847569,45.55036843,1746107,926224,819883,544155,456507,87648,533286,452873,80413,98.00259117,99.20395525,91.74539065,84.92122426,15.07877574,59.1256849,8.598575624,9.998387357,3.465682579,18.81166954,40.8743151,-16.37543886,-8.443743821,-43.91414806,-2.612324874,-4.676053335,-0.91212378,-0.277678799,2.44904976,3.416806154
Muktsar,44,District - Muktsar ,0,901896,475622,426274,335353,272711,62642,287035,253088,33947,85.59189869,92.80447067,54.1920756,88.17321929,11.82678071,59.85158604,7.518246904,10.1736722,5.331753967,17.12474089,40.14841396,777493,411217,366276,272003,215679,56324,266736,213420,53316,98.0636243,98.95261013,94.65947021,80.01169696,19.98830304,64.46673865,7.878951473,9.339196809,2.891623178,15.42348989,35.53326135,-12.47172561,-6.148139462,-40.4673946,-8.161522335,-4.615152604,-0.360704569,0.834475391,2.440130789,1.701250993
Faridkot,45,District - Faridkot ,0,617508,326671,290837,221842,184928,36914,190438,168006,22432,85.84397905,90.84941166,60.7682722,88.22083828,11.77916172,49.82619015,8.592822861,9.325869837,6.891481742,25.36363541,50.17380985,550892,292596,258296,275852,182306,93546,179345,144218,35127,65.01493555,79.10765416,37.55050991,80.41372773,19.58627227,55.81365525,9.536368452,9.845270289,3.565195573,21.23951044,44.18634475,20.8290435,11.7417575,23.21776229,-7.807110547,-5.987465094,-0.943545591,-0.519400452,3.326286169,4.124124968
Bathinda,46,District - Bathinda ,0,1388525,743197,645328,548487,431066,117421,450310,387536,62774,82.10039618,89.90177838,53.46062459,86.05982545,13.94017455,52.33861118,9.796362506,8.909417957,4.772712132,24.18289623,47.66138882,1183295,632809,550486,484518,368788,115730,414355,328085,86270,85.51901065,88.96303567,74.5441977,79.17968891,20.82031109,58.37554754,7.614726503,9.177396194,3.190500899,21.64182887,41.62445246,-3.418614465,0.938742708,-21.08357311,-6.880136539,-6.036936359,2.181636003,-0.267978238,1.582211233,2.54106736
Mansa,47,District - Mansa ,0,769751,408732,361019,329196,231194,98002,247068,206973,40095,75.05194474,89.52351705,40.91243036,83.77167419,16.22832581,63.41088283,7.12030696,8.141888063,4.714491557,16.61243059,36.58911717,688758,366446,322312,291248,208371,82877,227191,183977,43214,78.00602923,88.29299663,52.14233141,80.97900005,19.02099995,67.12149689,8.537750175,8.513101311,3.18762627,12.64002535,32.87850311,-2.954084488,1.23052042,-11.22990105,-2.792674147,-3.710614056,-1.417443215,-0.371213248,1.526865287,3.972405233
Patiala,48,District - Patiala ,YM,1895686,1002522,893164,659701,549362,110339,569591,492280,77311,86.34078166,89.60940145,70.06679415,86.42692739,13.57307261,33.73578585,11.67539515,12.10886408,9.074054892,33.40590002,66.26421415,1844934,987390,857544,696849,530992,165857,590011,490250,99761,84.66841453,92.32719137,60.14880288,83.09167117,16.90832883,43.09953543,14.28498791,11.60266504,5.227529656,25.78528197,56.90046457,-3.011322363,-1.302807566,-4.444372235,-4.615140077,-12.89481886,-0.548899952,0.068653554,3.921238597,9.453826661
Amritsar,49,District - Amritsar ,Y,2490656,1318408,1172248,918033,734913,183120,787255,662186,125069,85.75454259,90.1039987,68.29892966,84.11327969,15.88672031,28.27330408,15.07605541,14.5022896,8.817854444,33.33049647,71.72669592,3096077,1650589,1445488,932918,794119,138799,930512,793382,137130,99.74209952,99.90719275,98.79754177,85.26295201,14.73704799,39.80829909,15.66298984,13.27806627,4.989618619,26.26102619,60.19170091,0.526183191,0.946938489,0.438724748,0.568585535,-3.479270808,-2.683064092,-0.867951156,3.14813951,3.882146546
Tarn Taran,50,District - Tarn Taran ,Y,1119627,589369,530258,381019,313358,67661,316796,272883,43913,83.14441012,87.08346364,64.90149421,86.13839821,13.86160179,56.34793369,7.770931451,7.210949633,6.44768242,22.22250281,43.65206631,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.526183191,0.946938489,0.438724748,0.568585535,-3.479270808,-2.683064092,-0.867951156,3.14813951,3.882146546
