year,value
1983,5.8
1984,6.9
1985,7.7
1986,8.3
1987,7.5
1988,7.2
1989,7.2
1990,7.8
1991,5.5
1992,5.3
1993,6.9
1994,5.6
1995,5.0
1996,4.8
1997,5.8
1998,6.4
1999,5.3
2000,5.6
2001,6.1
2002,5.8
2003,4.4
2004,4.0
2005,4.0
2006,3.4
2007,2.6
2008,6.1
2009,6.6
2010,4.9
2011,5.9
2012,4.9
2013,4.5
2014,4.1
2015,3.9
2016,3.5
2017,3.5
2018,3.3
