year,value
1980,11.2
1981,12.6
1982,7.6
1983,12.6
1984,6.5
1985,6.5
1986,8.7
1987,9.2
1988,9.0
1989,6.6
1990,11.2
1991,13.5
1992,9.9
1993,7.3
1994,10.3
1995,10.0
1996,9.4
1997,6.8
1998,13.1
1999,3.4
2000,3.8
2001,4.3
2002,4.0
2003,3.9
2004,3.8
2005,4.4
2006,6.7
2007,6.2
2008,9.1
2009,12.4
2010,10.5
2011,8.4
2012,10.4
2013,9.7
2014,6.3
2015,5.7
2016,4.1
2017,3.1
2018,5.5
