Res_id,ua,city,name,votes,locality,locality2,newlocality,latitude,longitude,cuisines,newcuisine,average_cost_for_two,Column,aggregate_rating,rating_text,establishment,delivery,address,url,timings,zipcode,locality_verbose,currency,price_range,highlights,opentable_support,photo_count
51029,Bengaluru,Bangalore,Toscano,1960,UB City,UB City,UB City,12.97187287,77.59636614,"Italian, Salad",Italian,2400,8624,4.4,Very Good,Casual Dining,1,"2nd Floor, UB City, Vittal Mallya Road, Lavelle Road, Bangalore",https://www.zomato.com/bangalore/toscano-lavelle-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"12 Noon to 11 PM (Mon-Thu, Sun), 12 Noon to 11:30 PM (Fri-Sat)",0,"UB City, Bangalore",Rs.,4,"['Dinner', 'Lunch', 'Mall Parking', 'Takeaway Available', 'Credit Card', 'Valet Parking Available', 'Air Conditioned', 'Table booking recommended', 'Live Music', 'Outdoor Seating', 'Wifi']",0,1375
51882,Bengaluru,Bangalore,Loveshack,1959,Domlur,Domlur,Domlur,12.95265641,77.6402444,"Continental, Pizza, North Indian, Goan, Cafe",Continental,1600,7836,4,Very Good,Lounge,0,"280, Amarjyothi Layout, Opposite DELL, Inner Ring Road, Domlur, Bangalore",https://www.zomato.com/bangalore/loveshack-domlur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"11:30am to 11:30pm (Mon, Tue, Thu), 11:30am to 12:30AM (Wed, Fri, Sat, Sun)",560070,"Domlur, Bangalore",Rs.,3,"['Dinner', 'Takeaway Available', 'Debit Card', 'Lunch', 'Serves Alcohol', 'Cash', 'Delivery', 'Credit Card', 'Dance Floor', 'Karaoke', 'Live Sports Screening', 'City View', 'Fullbar', 'Wine', 'Indoor Seating', 'Serves Cocktails', 'Table reservation required', 'Hookah', 'Smoking Area', 'Brunch', 'Free Parking', 'Live Entertainment', 'Nightlife', 'Valet Parking Available', 'Outdoor Seating', 'Beer', 'Rooftop', 'Private Dining Area Available']",0,331
17956671,Bengaluru,Bangalore,The White Room - Coffee & Kitchen,1956,Church Street,Church Street,Church Street,12.9754113,77.603232,"Cafe, Continental, American, Desserts",Cafe,1000,8019.6,4.1,Very Good,Cafe,0,"33, High Gates Hotel, Church Street, Bangalore",https://www.zomato.com/bangalore/the-white-room-coffee-kitchen-church-street?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"9AM to 11PM (Mon-Sat),8AM to 11PM (Sun)",,"Church Street, Bangalore",Rs.,3,"['Credit Card', 'Takeaway Available', 'Lunch', 'Breakfast', 'No Alcohol Available', 'Dinner', 'Outdoor Seating', 'Air Conditioned', 'Desserts and Bakes', 'Romantic Dining', 'Valet Parking Available', 'Indoor Seating', 'Smoking Area', 'Table booking recommended']",0,2530
18945224,Bengaluru,Bangalore,Secret Of Bangalore,1954,Rajarajeshwari Nagar,Rajarajeshwari Nagar,Rajarajeshwari Nagar,12.90926381,77.52734754,"North Indian, South Indian, Continental, Asian, Desserts",North Indian,1200,8793,4.5,Excellent,Casual Dining,-1,"Shakthi Hill Resort, BEML Layout, Off Mysore Road, V Stage, RR Nagar, Rajarajeshwari Nagar, Bangalore",https://www.zomato.com/bangalore/secret-of-bangalore-rajarajeshwari-nagar-bangalore?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,11 AM to 1 AM,,"Rajarajeshwari Nagar, Bangalore",Rs.,3,"['Lunch', 'Credit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Free Parking', 'Nightlife', 'Outdoor Seating', 'Free Wifi', 'Air Conditioned', 'Smoking Area', 'Live Sports Screening', 'Fullbar', 'Indoor Seating', 'Table booking recommended']",0,700
57503,Bengaluru,Bangalore,Dice N Dine,1953,Koramangala 5th Block,Koramangala 5th Block,Koramangala 5th Block,12.93271795,77.61407141,"Continental, Cafe, Pizza, Fast Food, Steak",Continental,900,8397.9,4.3,Muy Bueno,Casual Dining,1,"71/72, The Elite, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/dice-n-dine-koramangala-5th-block?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"11am to 11:30pm (Mon),10am to 11:30pm (Tue-Sun)",,"Koramangala 5th Block, Bangalore",Rs.,2,"['Lunch', 'Cash', 'Delivery', 'Credit Card', 'Debit Card', 'Dinner', 'Takeaway Available', 'Breakfast', 'Board Games', 'Table booking recommended', 'Indoor Seating', 'Air Conditioned', 'Smoking Area']",0,1878
56947,Bengaluru,Bangalore,Moriz Restaurant,1952,Brookefield,Brookefield,Brookefield,12.9647372,77.71782059,"Arabian, North Indian, Biryani, Chinese, Seafood",Arabian,850,5465.6,2.8,Average,Casual Dining,1,"614, C Block, AECS Layout, Kundalahalli, Brookefield, Bangalore",https://www.zomato.com/bangalore/moriz-restaurant-brookefield?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,11:30 AM to 11:30 PM (Mon-Sun),,"Brookefield, Bangalore",Rs.,2,"['Credit Card', 'Takeaway Available', 'Lunch', 'Delivery', 'No Alcohol Available', 'Dinner', 'Air Conditioned', 'Table booking recommended', 'Indoor Seating', 'Valet Parking Available']",0,604
50261,Bengaluru,Bangalore,China Pearl,1949,Koramangala 6th Block,Koramangala 6th Block,Koramangala 6th Block,12.93612059,77.62140188,Chinese,Chinese,1100,8380.7,4.3,Very Good,Casual Dining,1,"53/1, 5th Cross, Koramangala 6th Block, Bangalore",https://www.zomato.com/bangalore/china-pearl-koramangala-6th-block?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"12 Noon to 3:15 PM, 7 PM to 10:45 PM",0,"Koramangala 6th Block, Bangalore",Rs.,3,"['Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'No Alcohol Available', 'Dinner', 'Delivery', 'Credit Card', 'Indoor Seating', 'Table booking recommended', 'Air Conditioned']",0,905
51015,Bengaluru,Bangalore,The Punjabi Rasoi,1948,HSR,HSR,HSR,12.91184455,77.63855997,North Indian,North Indian,800,7792,4,Very Good,Casual Dining,0,"1082, 18th Cross, 3rd Sector, HSR, Bangalore",https://www.zomato.com/bangalore/the-punjabi-rasoi-hsr?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"12:30 PM to 3:30 PM, 7 PM to 11 PM",0,"HSR, Bangalore",Rs.,2,"['Credit Card', 'No Alcohol Available', 'Dinner', 'Delivery', 'Takeaway Available', 'Debit Card', 'Lunch', 'Cash', 'Outdoor Seating', 'Air Conditioned', 'Indoor Seating', 'Table booking recommended']",0,590
53877,Bengaluru,Bangalore,Bistro Claytopia,1947,Koramangala 1st Block,Koramangala 1st Block,Koramangala 1st Block,12.92572462,77.63347249,"Cafe, American, Italian, Burger",Cafe,600,7982.7,4.1,Very Good,Cafe,1,"11, 80 Feet Road, Next to SBI, Koramangala 1st Block, Bangalore",https://www.zomato.com/bangalore/bistro-claytopia-koramangala-1st-block?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,11 AM to 11 PM,0,"Koramangala 1st Block, Bangalore",Rs.,2,"['Dinner', 'Takeaway Available', 'Debit Card', 'No Alcohol Available', 'Lunch', 'Cash', 'Delivery', 'Credit Card', 'Breakfast', 'Digital Payments Accepted', 'Table Reservation Not Required', 'Pet Friendly', 'Wifi', 'All Day Breakfast', 'Outdoor Seating', 'Table booking for Groups', 'Air Conditioned', 'Private Dining Area Available', 'Desserts and Bakes', 'Indoor Seating']",0,1438
59713,Bengaluru,Bangalore,Al Amanah Cafe,1938,Kammanahalli,Kammanahalli,Kammanahalli,13.01550412,77.63942834,"Middle Eastern, Fast Food, Rolls, Wraps",Middle Eastern,300,8527.2,4.4,Very Good,Quick Bites,1,"20, 5th Avenue, 5th Main Road, Kammanahalli, Bangalore",https://www.zomato.com/bangalore/al-amanah-cafe-kammanahalli-bangalore?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"11:30 AM to 11:30 PM (Mon-Thu), 4 PM to 11:30 PM (Fri), 1 PM to 11:30 PM (Sat-Sun)",,"Kammanahalli, Bangalore",Rs.,1,"['Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Indoor Seating']",0,222
