Row Labels,neighbourhood,lat,long,number,cost_for_two,rating,pricerange,votes,photos,neigh,city,ua,diversity
"BTM, Bangalore",BTM,12.9166,77.6101,23,730.4347826,4.152173913,1.956521739,31538,13360,BTM, Bangalore,Bangalore,14
"HSR, Bangalore",HSR,12.9121,77.6446,60,815,4.151666667,2.15,76151,42693,HSR, Bangalore,Bangalore,24
"Vasant Kunj, New Delhi",Vasant Kunj,28.5293,77.1484,28,1371.428571,4.15,2.777777778,41690,32185,Vasant Kunj, New Delhi,Delhi,12
"Marol, Mumbai",Marol,19.1173,72.884,18,1252.777778,4.15,2.777777778,36010,40561,Marol, Mumbai,Mumbai,11
"Chembur, Mumbai",Chembur,19.0522,72.9005,19,1126.315789,4.147368421,2.526315789,25725,23546,Chembur, Mumbai,Mumbai,9
"Koramangala 6th Block, Bangalore",Koramangala 6th Block,12.9382,77.6228,24,789.5833333,4.145833333,2.166666667,28634,19433,Koramangala 6th Block, Bangalore,Bangalore,15
"JP Nagar, Bangalore",JP Nagar,12.9063,77.5857,45,950,4.14,2.377777778,70945,38508,JP Nagar, Bangalore,Bangalore,15
"Satyaniketan, New Delhi",Satyaniketan,28.5876,77.169,13,757.6923077,4.138461538,2,21728,37541,Satyaniketan, New Delhi,Delhi,5
"Banashankari, Bangalore",Banashankari,12.9255,77.5468,18,697.2222222,4.133333333,2,19963,11590,Banashankari, Bangalore,Bangalore,10
"Southern Avenue, Kolkata",Southern Avenue,22.51342,88.35378,35,931.4285714,4.131428571,2.428571429,37395,55991,Southern Avenue, Kolkata,Kolkata,14
"Thane West, Thane",Thane West,19.2445,72.9815,46,1195.652174,4.130434783,2.630434783,68748,89962,Thane West, Thane,Mumbai,20
"Karkardooma, New Delhi",Karkardooma,28.6529,77.3023,10,580,4.13,1.6,10424,9115,Karkardooma, New Delhi,Delhi,7
"Khan Market, New Delhi",Khan Market,28.6001,77.227,32,1675,4.128125,3.307692308,44411,43833,Khan Market, New Delhi,Delhi,15
"Navallur, Chennai",Navallur,12.8459,80.2265,12,716.6666667,4.125,2,9042,1961,Navallur, Chennai,Chennai,9
"Gopalapuram, Chennai",Gopalapuram,13.0489,80.2586,13,742.3076923,4.123076923,1.923076923,8523,9993,Gopalapuram, Chennai,Chennai,11
"Royapettah, Chennai",Royapettah,13.054,80.2641,22,747.7272727,4.122727273,1.954545455,15568,10227,Royapettah, Chennai,Chennai,12
"Teynampet, Chennai",Teynampet,13.0415,80.252,19,1768.421053,4.121052632,3.105263158,10315,14829,Teynampet, Chennai,Chennai,10
"Juhu, Mumbai",Juhu,19.1075,72.8263,30,1728.333333,4.12,3.066666667,63077,74725,Juhu, Mumbai,Mumbai,15
"Hitech City, Hyderabad",Hitech City,17.4435,78.3772,56,1195.535714,4.117857143,2.535714286,78985,40580,Hitech City, Hyderabad,Hyderabad,21
"Fort, Mumbai",Fort,18.9345,72.8371,33,1190.909091,4.112121212,2.606060606,53443,66265,Fort, Mumbai,Mumbai,12
"Nungambakkam, Chennai",Nungambakkam,13.0569,80.2425,93,1122.043011,4.111827957,2.52173913,62893,49738,Nungambakkam, Chennai,Chennai,30
"Saket, New Delhi",Saket,28.5221,77.2102,39,1438.461538,4.107692308,2.676470588,58953,62258,Saket, New Delhi,Delhi,14
"Vashi, Navi Mumbai",Vashi,19.0745,72.9978,28,1282.142857,4.107142857,2.857142857,38098,48327,Vashi, Navi Mumbai,Mumbai,12
"Andheri West, Mumbai",Andheri West,19.1363,72.8277,84,1086.904762,4.103571429,2.488095238,134175,136538,Andheri West, Mumbai,Mumbai,27
"Rajouri Garden, New Delhi",Rajouri Garden,28.6417,77.1225,44,1151.136364,4.1,2.5,55655,88660,Rajouri Garden, New Delhi,Delhi,15
"Camac Street Area, Kolkata",Camac Street Area,22.54629,88.35074,22,997.7272727,4.1,2.5,26708,29983,Camac Street Area, Kolkata,Kolkata,10
"Bellandur, Bangalore",Bellandur,12.9304,77.6784,13,1030.769231,4.1,2.307692308,18416,8560,Bellandur, Bangalore,Bangalore,6
"Mahakali, Mumbai",Mahakali,19.13008,72.87099,15,916.6666667,4.093333333,2.266666667,15390,13256,Mahakali, Mumbai,Mumbai,8
"Janakpuri, New Delhi",Janakpuri,28.6219,77.0878,14,860.7142857,4.092857143,2.071428571,16752,12650,Janakpuri, New Delhi,Delhi,7
"Prince Anwar Shah Road, Kolkata",Prince Anwar Shah Road,22.50437,88.35122,25,688,4.088,1.84,28184,31679,Prince Anwar Shah Road, Kolkata,Kolkata,15
