stcode11,ac_no,st_name,ac_name,pc_name,Households,Population,Males,Females,SCPopulation,MaleSCPopulation,FemaleSCPopulation,STPopulation,MaleSTPopulation,FemaleSTPopulation,Literates,MaleLiterates,FemaleLiterates,Illiterates,MaleLiterates,FemaleIlliterates,TotalWorkers,FulltimeWorkers,MaleFulltimeWorkers,FemaleFulltimeWorkers,ParttimeWorkers,AgriculturalWorkers,DilapidatedHouses,HouseholdswithAccesstoTap,HouseholdswithElectricLighting,HouseholdswithKerosene,HouseholdswithIndoorToilets,HouseholdswithFirewood,HouseholdswithLPG,HouseholdswithTV,HouseholdswithMobile,Householdswith2wheelers,Householdswith4wheelers
23,119,MADHYA PRADESH,Narsingpur,Hoshangabad,68790,299867,155937,143930,47051,24465,22586,32341,16558,15783,210222,118411,91811,89645,37526,52119,127202,102635,76718,25917,24567,81697,5863,16395,52766,15175,32788,47831,15422,25811,24604,14153,1831
23,12,MADHYA PRADESH,Mehgaon,Bhind,64833,369708,202369,167339,74297,40300,33997,267,146,121,233373,146532,86841,136335,55837,80498,113482,92012,85668,6344,21470,94293,2904,3101,16169,47955,10078,35927,2655,12090,34396,9053,888
23,120,MADHYA PRADESH,Tendukheda,Hoshangabad,54468,237597,124076,113520,37194,19439,17755,22308,11353,10955,151242,88128,63113,86355,35948,50407,104056,76460,57959,18501,27595,88090,5810,6661,35224,18668,16474,43971,3679,14078,16814,8000,845
23,121,MADHYA PRADESH,Gadarwara,Hoshangabad,58870,271142,142015,129127,45722,23849,21872,27751,14112,13638,167756,98157,69599,103385,43857,59527,110857,83264,63863,19400,27593,85479,5683,10117,39676,18608,19369,47130,5651,17441,18343,9243,902
23,122,MADHYA PRADESH,Junnardeo,Chhindwara,66634,323447,163653,159793,38917,19772,19145,176467,88323,88143,166954,95736,71218,156492,67917,88575,142247,73224,53157,20067,69022,96153,2804,7487,49274,16560,14767,53599,9954,16582,15971,10065,1014
23,123,MADHYA PRADESH,Amarwara,Chhindwara,70462,339075,170474,168601,31214,15974,15240,202307,100430,101877,177903,103062,74841,161172,67412,93760,170237,117145,73897,43248,53092,151503,2683,6348,48111,21768,6262,63644,2993,8328,11287,5662,507
23,124,MADHYA PRADESH,Churai,Chhindwara,53146,253344,129808,123536,23418,11998,11420,79668,40111,39557,155314,88783,66531,98030,41025,57005,122768,85356,59265,26091,37412,109084,3437,5315,38561,14251,6877,46623,2426,11370,12771,7741,639
23,125,MADHYA PRADESH,Saunsar,Chhindwara,62941,280657,143957,136700,29899,15273,14626,50835,25660,25175,198163,110518,87645,82494,33439,49055,136405,105190,70438,34752,31215,109098,3811,13041,54193,8337,17719,48677,11077,25363,21067,10523,894
23,126,MADHYA PRADESH,Chhindwara,Chhindwara,65202,310147,158667,151480,39680,20219,19461,58777,29590,29187,223651,122580,101071,86496,36087,50409,119569,100872,75271,25601,18697,52040,3065,31363,56978,7960,35053,33385,25243,34811,26763,21138,2986
23,127,MADHYA PRADESH,Parasia,Chhindwara,63501,302578,153914,148664,42874,21687,21186,98962,49651,49311,186383,106019,80363,116195,47894,68300,124750,86796,64304,22491,37954,69266,2152,18953,51059,12213,20728,45551,13544,23132,20753,13171,1446
23,128,MADHYA PRADESH,Pandhurna,Chhindwara,58493,268573,137277,131296,23240,12005,11235,101879,51513,50366,175193,98938,76255,93380,38339,55041,138046,101032,64920,36112,37014,119258,2950,13582,47638,10449,10559,49018,7979,18931,14828,6970,708
23,129,MADHYA PRADESH,Multai,Betul,62658,287859,146051,141808,37268,19099,18169,53357,26761,26596,191188,107026,84162,96671,39025,57646,151449,109074,69211,39863,42375,129447,2356,9368,48256,14143,11781,48504,5221,19930,19794,9379,826
23,13,MADHYA PRADESH,Gohad,Bhind,57845,317354,174423,142930,87178,47676,39502,3238,1734,1503,193601,123775,69825,123752,50647,73105,97328,76280,71694,4586,21048,73848,2809,2516,24925,32438,10700,31127,3288,14568,30868,8504,821
23,130,MADHYA PRADESH,Amla,Betul,61831,293426,149847,143579,49714,25602,24112,79103,39162,39941,190843,107240,83603,102582,42607,59975,128183,91212,65404,25807,36970,78944,2315,19182,48881,12471,21550,39424,17727,26853,27876,17788,1553
23,131,MADHYA PRADESH,Betul,Betul,67133,315902,161227,154674,30520,15570,14949,81202,40669,40532,213155,117058,96096,102747,44168,58578,145878,111723,77857,33866,34155,93136,2971,12083,56847,9966,31273,45873,18286,30329,28237,18426,2208
23,132,MADHYA PRADESH,Ghoradongri,Betul,69315,340137,171196,168941,21842,11174,10668,210791,104839,105952,178115,102555,75560,162022,68641,93381,174201,92663,64917,27746,81538,137687,3807,1608,40645,27446,12287,64011,3531,10786,15657,8950,718
23,133,MADHYA PRADESH,Bhainsdehi,Betul,68270,334759,169254,165505,19611,10007,9604,240696,120820,119876,165018,95004,70014,169741,74250,95491,185430,105916,67825,38091,79514,170754,3073,2504,38689,24863,5958,64406,1716,8290,8763,5617,541
23,134,MADHYA PRADESH,Timarni,Betul,46707,239501,123370,116131,32008,16797,15211,89842,45546,44296,140212,81682,58530,99289,41688,57601,100087,65562,49031,16531,34525,82563,3741,1968,38122,8363,18706,38581,6151,16144,21482,11622,1136
23,135,MADHYA PRADESH,Harda,Betul,67006,332585,172333,160252,61327,32015,29312,70005,35988,34017,213255,122711,90544,119330,49622,69708,131563,98726,78717,20009,32837,87272,4204,13089,59401,7186,34616,46210,16926,30921,38625,20213,2526
23,136,MADHYA PRADESH,Seoni-Malwa,Hoshangabad,66583,322914,167922,154991,47070,24670,22400,84703,43424,41279,208813,120829,87983,114101,47092,67008,132830,91076,72156,18919,41754,98988,6590,4431,53651,12162,31444,53961,9946,27862,34466,17367,1777
23,137,MADHYA PRADESH,Hoshangabad,Hoshangabad,58872,283376,147911,135465,48572,25286,23285,16372,8391,7981,214564,119050,95513,68812,28860,39952,94973,82401,68303,14097,12571,21494,2588,18257,55261,3292,45426,22293,33423,41924,36409,24770,3193
23,138,MADHYA PRADESH,Sohagpur,Hoshangabad,69520,338379,177226,161153,52610,27623,24986,48748,24913,23835,206635,123005,83630,131744,54220,77523,132654,96384,77395,18989,36270,98894,6026,12643,49404,19642,25577,53332,8918,24161,31567,14822,1234
23,139,MADHYA PRADESH,Pipariya,Hoshangabad,62230,296777,155711,141065,56664,29597,27066,47475,24313,23162,180641,106321,74319,116135,49389,66746,117753,91804,71953,19851,25948,79161,5358,7771,44049,17729,22808,42379,11472,21448,25833,12194,1373
23,14,MADHYA PRADESH,Gwalior Rural,Gwalior,120606,647936,350578,297357,124098,66579,57519,9694,5198,4495,435750,260076,175673,212186,90502,121683,214168,178816,155841,22975,35352,71525,3792,46153,97721,21653,73241,36922,54233,78555,69326,43957,7014
23,140,MADHYA PRADESH,Udaipura,Hoshangabad,71732,341000,179193,161807,62473,32748,29725,21605,11166,10439,208270,122780,85490,132730,56413,76317,126613,96350,80566,15784,30263,100126,6931,4226,47709,23625,23300,47669,6707,21603,34418,13493,1664
23,141,MADHYA PRADESH,Bhojpur,Vidisha,71438,344184,182269,161914,52059,27614,24444,73147,38037,35109,209702,123387,86314,134482,58881,75600,131928,96372,78070,18301,35556,75765,3698,16350,58865,11723,30070,48061,17408,31082,37135,15073,2127
23,142,MADHYA PRADESH,Sanchi,Vidisha,74709,367372,192606,174766,70381,37093,33288,39943,20597,19346,231788,134697,97091,135584,57909,77675,141135,99120,79942,19178,42015,97598,3520,7847,53665,20324,18804,61331,8968,24667,34360,13804,1611
23,143,MADHYA PRADESH,Silwani,Vidisha,64704,300563,157663,142900,46113,24479,21634,70455,35888,34567,184308,106481,77827,116255,51182,65073,126538,84938,67267,17671,41600,96799,3809,5600,41401,21965,14407,58708,4138,14387,25483,7769,926
23,144,MADHYA PRADESH,Vidisha,Vidisha,58738,284931,149483,135448,52577,27582,24995,7297,3748,3549,197240,112421,84819,87691,37062,50629,99557,79238,66404,12834,20319,43181,2005,13138,49825,8549,29966,22537,22923,32173,32192,18055,2292
23,145,MADHYA PRADESH,Basoda,Vidisha,61133,291211,153299,137912,54984,29045,25939,16410,8503,7907,182159,106632,75527,109052,46667,62385,112274,83717,68028,15689,28557,73997,2357,6477,39394,21282,16234,37246,10438,20577,29581,11358,953
23,146,MADHYA PRADESH,Kurwai,Sagar,66410,324910,171826,153083,75816,40321,35494,20600,10611,9989,190924,114889,76035,133985,56937,77048,122982,93630,77585,16045,29351,98803,1488,5217,36712,29311,9899,34065,2650,17617,29158,10038,794
23,147,MADHYA PRADESH,Sironj,Sagar,61718,304922,161651,143271,57898,30734,27164,12242,6362,5880,153517,93717,59800,151405,67934,83471,113309,74500,63932,10568,38809,88701,1031,8824,32171,28800,12516,43350,5454,14793,28158,8058,1018
