file,date,person,Environment,Agriculture,Army,Economy,Development,Employment,Poverty,Terrorism,Corruption,Education,Health,Hinduism,Minorities,Religion
40_November_16_2004_New_Delhi.txt,11/16/2004,mms,0,9.652509652,0,0,24.13127413,0,9.652509653,0,0,0,4.826254826,0,0,0
41_November_17_2004_Srinagar.txt,11/17/2004,mms,0,0,0,7.598784195,49.39209727,3.799392097,3.799392097,3.799392097,3.799392097,22.79635259,56.99088146,0,0,0
42_November_19_2004_New_Delhi.txt,11/19/2004,mms,7.238508867,0,3.619254434,32.5732899,7.238508868,10.8577633,3.619254434,0,0,10.8577633,3.619254434,0,0,10.8577633
44_November_20_2004_Manipur.txt,11/20/2004,mms,0,0,0,11.74398121,35.23194363,5.871990605,11.74398121,5.871990605,5.871990605,23.48796242,5.871990605,0,0,0
45_November_20_2004_Manipur.txt,11/20/2004,mms,0,0,6.802721088,0,47.61904763,0,0,0,0,0,6.802721088,0,0,0
46_November_22_2004_Guwahati.txt,11/22/2004,mms,8.703220191,0,0,0,17.40644038,0,0,0,0,0,0,0,8.703220191,8.703220191
48_November_22_2004_Guwahati.txt,11/22/2004,mms,0,0,0,14.81481481,74.07407407,0,0,0,0,0,0,0,0,0
47_November_23_2004_New_Delhi.txt,11/23/2004,mms,4.719207173,0,0,4.719207173,33.03445022,0,0,0,0,0,0,0,0,14.15762152
49_November_27_2004_New_Delhi.txt,11/27/2004,mms,0,0,0,10.44932079,0,0,0,0,0,20.89864158,10.44932079,0,10.44932079,0
1134_November_30_2004_Vientiane_Laos.txt,11/30/2004,mms,0,0,0,0,50.12531328,0,0,0,0,0,0,0,0,0
50_December_3_2004_New_Delhi.txt,12/3/2004,mms,0,0,0,0,42.37288136,0,0,0,0,0,0,0,0,0
51_December_4_2004_New_Delhi.txt,12/4/2004,mms,30.95975232,4.42282176,0,44.2282176,8.845643521,17.69128704,8.84564352,0,0,4.42282176,0,0,0,4.42282176
52_December_14_2004_New_Delhi.txt,12/14/2004,mms,0,0,0,0,30.84040092,0,0,0,0,0,0,0,0,0
53_December_14_2004_New_Delhi.txt,12/14/2004,mms,0,0,0,0,0,0,0,0,0,0,0,0,0,18.24817518
54_December_16_2004_New_Delhi.txt,12/16/2004,mms,0,8.591065292,0,0,51.54639176,0,0,0,0,17.18213058,0,0,0,0
55_December_19_2004_New_Delhi.txt,12/19/2004,mms,9.00090009,0,0,0,27.00270027,0,0,0,0,0,0,0,0,0
56_December_26_2004_New_Delhi.txt,12/26/2004,mms,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57_December_28_2004_New_Delhi.txt,12/28/2004,mms,0,0,0,33.44481605,0,0,0,0,0,0,0,0,0,0
58_January_3_2005_Ahmedabad.txt,1/3/2005,mms,7.544322897,7.544322898,0,3.772161449,33.94945304,0,11.31648435,0,0,11.31648435,11.31648435,0,0,0
59_January_6_2005_New_Delhi.txt,1/6/2005,mms,0,0,0,0,8.613264427,0,0,0,0,8.613264427,43.06632214,0,0,0
60_January_7_2005_Mumbai.txt,1/7/2005,mms,3.688675765,0,0,7.37735153,14.75470306,3.688675765,3.688675765,0,0,18.44337883,3.688675765,0,0,7.377351531
61_January_11_2005_Kolkata.txt,1/11/2005,mms,0,0,0,0,15.10574018,0,0,0,0,0,7.552870091,0,0,0
62_January_12_2005_Kolkata.txt,1/12/2005,mms,3.976143141,3.976143141,0,19.8807157,31.80914512,7.952286282,3.976143141,0,0,15.90457256,7.952286282,0,3.976143141,0
63_January_13_2005_New_Delhi.txt,1/13/2005,mms,5.973715651,0,0,23.8948626,17.92114695,0,0,0,0,5.973715651,5.973715651,0,0,0
64_January_16_2005_New_Delhi.txt,1/16/2005,mms,0,0,0,13.42281879,6.711409396,0,0,0,0,0,0,0,0,0
65_January_22_2005_New_Delhi.txt,1/22/2005,mms,14.03180543,0,0,4.677268475,4.677268475,9.35453695,0,0,0,14.03180543,0,0,0,0
66_January_29_2005_New_Delhi.txt,1/29/2005,mms,11.17318436,0,0,0,22.34636872,0,0,5.586592179,0,5.586592179,0,0,5.586592179,5.586592179
67_February_12_2005_Mysore.txt,2/12/2005,mms,17.2860847,0,0,12.96456353,25.92912706,17.2860847,0,0,0,4.321521175,0,4.321521175,0,0
68_February_12_2005_Mysore.txt,2/12/2005,mms,0,0,0,0,0,21.14164905,42.2832981,0,0,21.14164904,0,10.57082452,10.57082452,73.99577167
69_February_15_2005_Kerala.txt,2/15/2005,mms,0,0,0,0,0,0,0,0,0,0,57.20823799,0,0,0
70_February_16_2005_Kochi.txt,2/16/2005,mms,0,0,0,21.39800285,85.59201142,28.53067047,0,0,0,0,0,0,0,0
71_February_16_2005_Kerala.txt,2/16/2005,mms,0,6.277463905,0,25.10985562,43.94224733,25.10985562,0,0,0,0,6.277463905,12.55492781,12.55492781,0
72_February_21_2005_New_Delhi.txt,2/21/2005,mms,0,0,0,13.73626374,0,0,0,0,0,151.0989011,0,0,13.73626374,0
73_February_25_2005_New_Delhi.txt,2/25/2005,mms,7.955449483,0,0,15.91089897,47.73269689,0,0,0,0,0,3.977724741,0,0,0
74_February_27_2005_New_Delhi.txt,2/27/2005,mms,13.60544218,0,13.60544218,0,0,0,0,13.60544218,0,68.02721089,0,0,0,0
75_March_6_2005_New_Delhi.txt,3/6/2005,mms,0,0,0,0,10.86956522,10.86956522,0,0,0,0,0,0,10.86956522,0
76_March_7_2005_New_Delhi.txt,3/7/2005,mms,0,22.81368821,0,15.20912548,22.81368821,0,7.604562738,0,0,0,22.81368821,0,0,0
78_March_11_2005_New_Delhi.txt,3/11/2005,mms,12.13592233,14.5631068,0,4.854368932,19.41747573,16.99029127,0,2.427184466,0,14.5631068,9.708737864,0,0,0
80_March_19_2005_New_Delhi.txt,3/19/2005,mms,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81_March_21_2005_New_Delhi.txt,3/21/2005,mms,10.5374078,0,0,10.5374078,47.41833509,0,10.5374078,0,0,5.268703899,10.5374078,0,0,0
82_March_21_2005_New_Delhi.txt,3/21/2005,mms,0,0,0,0,0,0,0,0,0,0,0,0,0,26.84563758
103_March_24_2005_New_Delhi.txt,3/24/2005,mms,6.596306069,0,0,19.78891821,6.596306069,19.78891821,6.596306069,0,0,0,0,0,0,0
83_March_30_2005_New_Delhi.txt,3/30/2005,mms,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84_March_31_2005_Mauritius.txt,3/31/2005,mms,6.493506494,0,0,0,32.46753247,0,0,0,0,0,0,0,0,0
85_April_1_2005_Mauritius.txt,4/1/2005,mms,0,0,0,16.22060016,40.5515004,8.110300081,0,0,0,8.110300081,0,0,0,0
86_April_1_2005_Mauritius.txt,4/1/2005,mms,0,0,0,10.42752868,52.13764338,0,0,0,0,20.85505735,0,0,0,0
87_April_4_2005_New_Delhi.txt,4/4/2005,mms,0,6.811989101,0,20.4359673,13.6239782,6.811989101,0,0,6.811989101,6.811989101,6.811989101,0,0,0
88_April_5_2005_New_Delhi.txt,4/5/2005,mms,0,0,0,0,0,0,0,0,0,0,0,0,18.65671642,18.65671642
89_April_5_2005_New_Delhi.txt,4/5/2005,mms,12.6984127,12.6984127,0,25.3968254,31.74603175,19.04761905,6.349206349,0,0,6.349206349,25.3968254,0,12.6984127,0
90_April_7_2005_Srinagar.txt,4/7/2005,mms,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91_April_7_2005_New_Delhi.txt,4/7/2005,mms,0,0,0,0,22.72727272,0,34.09090909,0,0,11.36363636,204.5454546,0,0,0
106_April_8_2005_New_Delhi.txt,4/8/2005,mms,0,0,0,6.37755102,44.64285714,0,0,0,0,0,6.37755102,0,0,0
92_April_8_2005_New_Delhi.txt,4/8/2005,mms,14.04494382,0,0,0,28.08988764,14.04494382,0,0,0,0,0,0,0,0
93_April_9_2005_New_Delhi.txt,4/9/2005,mms,0,172.7748691,0,41.88481675,68.06282722,10.47120419,5.235602094,0,0,5.235602094,0,0,0,0
94_April_11_2005_New_Delhi.txt,4/11/2005,mms,0,0,0,0,0,0,0,0,0,0,13.60544218,0,0,0
95_April_12_2005_New_Delhi.txt,4/12/2005,mms,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96_April_12_2005_New_Delhi.txt,4/12/2005,mms,0,0,0,5.431830527,16.29549158,0,0,0,0,10.86366105,353.0689843,0,0,0
97_April_12_2005_New_Delhi.txt,4/12/2005,mms,0,0,0,0,87.1898055,0,0,0,0,6.706908115,6.706908115,0,0,6.706908115
107_April_13_2005_Chandigarh.txt,4/13/2005,mms,0,0,0,5.813953488,23.25581396,0,0,0,0,17.44186047,139.5348837,5.813953488,0,11.62790698
99_April_14_2005_New_Delhi.txt,4/14/2005,mms,0,0,0,0,0,17.39130435,0,0,0,0,0,0,0,0
100_April_15_2005_New_Delhi.txt,4/15/2005,mms,3.292723082,6.585446164,0,0,36.2199539,6.585446164,0,42.80540007,0,6.585446164,6.585446164,0,0,3.292723082
102_April_16_2005_New_Delhi.txt,4/16/2005,mms,0,0,0,13.17523057,26.35046114,0,13.17523057,26.35046113,0,0,26.35046113,0,0,0
105_April_19_2005_New_Delhi.txt,4/19/2005,mms,0,0,0,10.17293998,61.03763988,0,10.17293998,0,10.17293998,10.17293998,10.17293998,0,0,10.17293998
104_April_20_2005_New_Delhi.txt,4/20/2005,mms,5.633802817,0,0,0,33.8028169,0,0,22.53521126,0,0,0,0,0,0
108_April_23_2005_Jakarta.txt,4/23/2005,mms,19.92031873,6.640106242,0,6.640106242,66.40106241,0,26.56042497,6.640106242,0,0,6.640106242,0,0,0
109_April_29_2005_New_Delhi.txt,4/29/2005,mms,0,0,0,0,38.51091142,0,0,0,0,0,12.83697047,0,0,0
117_April_29_2005_New_Delhi.txt,4/29/2005,mms,0,0,0,9.852216749,9.852216749,0,0,0,0,9.852216749,0,0,0,9.852216749
111_April_30_2005_Raipur.txt,4/30/2005,mms,0,32.15434084,0,8.038585209,40.19292605,8.038585209,0,0,0,80.38585209,8.038585209,8.038585209,0,0
112_April_30_2005_Chhattisgarh.txt,4/30/2005,mms,0,11.25492403,0,5.627462015,135.0590883,16.88238604,5.627462015,0,0,16.88238605,50.64715814,0,0,0
113_April_30_2005_Chhattisgarh.txt,4/30/2005,mms,0,178.5714286,0,0,0,0,0,0,0,0,0,0,0,0
110_May_3_2005_New_Delhi.txt,5/3/2005,mms,15.60062402,0,0,0,0,46.80187207,0,0,0,31.20124804,15.60062402,15.60062402,31.20124804,0
