file,date,person,india,indian,india_or_its_equivalents,nation,country,democracy,world,bharat,hindustan,environmental_issues,environment,climate change,population,pollution,farmer,farmers,farmers_or_its_equivalents,agriculture,inflation,kisan,farming,soldiers_or_its_equivalents,army,soldier,soldiers,jawan,jobs_or_its_equivalents,job,jobs,employment,unemployment,labour,workers,development_or_its_equivalents,develop,developed,development,progress,infrastructure,roads,railways,rail,airports,airport,industry_or_its_equivalents,industry,manufacture,manufacturing,industrial,poverty_or_its_equivalents,poor,poverty,women_or_its_equivalents,girl,women,girls,woman,beti,daughter,education_or_its_equivalents,education,schools,colleges,terrorism_or_its_equivalents,terror,terrorism,crime,terrorists,terrorist,criminal,casteism_issues,casteism,caste,reservation,reservations,scheduled,dalit,backward,health_or_its_equivalents,health,hospital,hospitals,disease,cleanliness,clean,pakistan,china,bangladesh,nepal,sri lanka,bhutan,america_or_its_equivalents,america,u.s.a,britain_or_its_equivalents,england,british,war,hinduism_or_its_equivalents,hindu,hinduism,minority_or_its_equivalents,minority,minorities,muslim,islam,christian,christianity,sikh,god,faith,religion,economy,budget,tax,deficit,corruption,debt,i,me,you,we,us,our,ours,self_referential,modi,servant,mahatma,ambedkar,skills_or_its_equivalents,skill,skills,business_or_entrepreneurship,entrepreneurship,business,friends,brothers,sisters,opposition,dynasty,dynastic,prince,congress_party,congress,u.p.a,sonia,b.j.p
9_August_27_2004_New_Delhi.txt,27-Aug-04,mms,4.25170068,0,4.25170068,8.503401361,8.503401361,0,21.2585034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.00680272,8.503401361,4.25170068,4.25170068,4.25170068,0,0,0,0,0,0,4.25170068,0,0,0,4.25170068,0,0,0,0,0,0,0,0,0,0,8.503401361,8.503401361,0,0,12.75510204,0,0,4.25170068,0,4.25170068,8.503401361,0,0,0,0,0,0,0,0,8.503401361,0,0,0,0,0,8.503401361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25170068,0,0,0,42.5170068,0,119.047619,4.25170068,42.5170068,85.03401361,12.75510204,68.02721088,0,0,0,0,12.75510204,8.503401361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10_August_28_2004_New_Delhi.txt,28-Aug-04,mms,27.15546504,20.36659878,47.52206382,20.36659878,6.788866259,6.788866259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.788866259,6.788866259,0,0,0,0,0,0,0,0,0,6.788866259,6.788866259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.57773252,0,13.57773252,0,0,0,0,0,0,0,0,0,0,0,0,6.788866259,0,0,0,0,0,0,0,0,115.4107264,0,13.57773252,67.88866259,6.788866259,33.9443313,13.57773252,0,0,0,13.57773252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.57773252,13.57773252,0,0,0
11_August_30_2004_New_Delhi.txt,30-Aug-04,mms,11.0314396,0,11.0314396,0,5.515719801,0,11.0314396,0,0,11.0314396,11.0314396,0,0,0,0,0,11.0314396,11.0314396,0,0,0,0,0,0,0,0,22.06287921,0,0,22.06287921,0,0,5.515719801,33.09431881,0,0,33.09431881,5.515719801,11.0314396,0,0,0,0,0,99.28295643,22.06287921,0,16.5471594,60.67291782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0314396,0,0,11.0314396,0,0,0,0,0,0,0,0,0,0,0,0,5.515719801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.515719801,0,0,0,0,0,82.73579702,5.515719801,0,82.73579702,5.515719801,93.76723662,0,0,0,0,0,0,0,0,0,5.515719801,0,5.515719801,0,0,0,0,0,0,0,0,0,0,0,0
12_September_4_2004_New_Delhi.txt,4-Sep-04,mms,0,0,0,7.561436673,11.34215501,0,7.561436673,0,0,18.90359168,18.90359168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.561436673,0,0,7.561436673,0,0,0,22.68431002,3.780718336,0,18.90359168,3.780718336,7.561436673,0,0,0,0,0,7.561436673,0,0,0,7.561436673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.780718336,0,0,0,0,0,0,0,0,3.780718336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.561436673,0,0,0,0,0,90.73724008,0,22.68431002,71.83364839,3.780718336,90.73724008,0,0,0,0,0,0,15.12287335,0,15.12287335,3.780718336,0,3.780718336,0,0,0,0,0,0,0,0,0,0,0,0
13_September_4_2004_New_Delhi.txt,4-Sep-04,mms,25.59181062,0,25.59181062,0,19.19385797,0,6.397952655,0,0,6.397952655,6.397952655,0,0,0,0,6.397952655,12.79590531,6.397952655,12.79590531,0,0,0,0,0,0,0,0,0,0,0,6.397952655,0,0,12.79590531,0,0,12.79590531,0,0,0,0,0,0,0,0,0,0,0,0,6.397952655,0,6.397952655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.79590531,0,0,0,0,12.79590531,0,6.397952655,0,0,0,0,0,0,0,0,6.397952655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.9385797,19.19385797,63.97952655,147.1529111,12.79590531,89.57133717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.19385797,0,0,0,0,0,0,0,0
14_September_9_2004_New_Delhi.txt,9-Sep-04,mms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.01960784,49.01960784,98.03921569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15_September_9_2004_New_Delhi.txt,9-Sep-04,mms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.169934641,8.169934641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.67973856,0,0,32.67973856,16.33986928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.169934641,8.169934641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.169934641,8.169934641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.169934641,16.33986928,0,0,0,0,49.01960784,0,24.50980392,147.0588235,24.50980392,171.5686275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.169934641,8.169934641,0,0,0
16_September_13_2004_New_Delhi.txt,13-Sep-04,mms,19.35171746,19.35171746,38.70343493,9.675858732,33.86550556,0,19.35171746,0,0,4.837929366,4.837929366,0,0,0,0,0,4.837929366,4.837929366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0275762,0,4.837929366,24.18964683,4.837929366,0,0,0,0,0,0,14.5137881,9.675858732,0,4.837929366,0,0,0,0,0,0,0,0,0,0,0,4.837929366,4.837929366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5137881,9.675858732,0,0,4.837929366,0,0,0,0,0,0,0,0,0,0,0,4.837929366,0,4.837929366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.837929366,0,0,0,0,0,96.75858732,19.35171746,24.18964683,130.6240929,38.70343493,222.5447508,4.837929366,0,0,0,0,0,0,0,0,0,0,0,4.837929366,0,0,0,0,0,0,0,0,0,0,0
17_September_18_2004_New_Delhi.txt,18-Sep-04,mms,7.158196135,3.579098067,10.7372942,7.158196135,3.579098067,10.7372942,3.579098067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.579098067,3.579098067,0,0,3.579098067,0,0,0,0,0,0,0,0,0,0,0,3.579098067,3.579098067,0,0,0,0,0,0,0,0,0,0,0,0,7.158196135,0,0,0,0,0,7.158196135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.579098067,0,0,0,10.7372942,0,3.579098067,0,71.58196135,10.7372942,28.63278454,42.94917681,3.579098067,168.2176092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29_September_22_2004_New_York.txt,22-Sep-04,mms,76.07776839,4.226542688,80.30431107,4.226542688,12.67962806,4.226542688,33.8123415,0,0,0,0,0,8.453085376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.13271344,0,0,21.13271344,0,16.90617075,4.226542688,0,0,0,0,16.90617075,8.453085376,0,0,8.453085376,4.226542688,0,4.226542688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.226542688,0,4.226542688,4.226542688,0,0,0,4.226542688,0,0,4.226542688,0,0,0,0,0,4.226542688,0,21.13271344,4.226542688,4.226542688,0,0,0,177.5147929,4.226542688,67.62468301,224.0067625,25.35925613,185.9678783,0,0,0,0,0,0,0,0,0,29.58579882,0,29.58579882,0,0,0,0,0,0,0,4.226542688,4.226542688,0,0,0
