CleanArea,DistrictCode,Area,DistrictBroken,TotalPopulation2011,TotalMales2011,TotalFemales2011,TotalWorkers2011,TotalWokersMale2011,TotalWorkersFemale2011,MainWorkers2011,MainWokersMale2011,MainWorkersFemale2011,PerMainWorkers2011,PerMainMale2011,PerMainFemale2011,PerMainWorkersMale2011,PerMainWorkersFemale2011,Agriculture2011,Manufacturing2011,WholesaleRetail2011,Construction2011,Services2011,NonAgriculture2011,TotalPopulation2001,TotalMales2001,TotalFemales2001,TotalWorkers2001,TotalMaleWorkers2001,TotalFemaleWorkers2001,MainWorkersTotal2001,MainWorkersMale2001,MainWorkerFemale2001,PerMainWorkers2001,PerMainMale2001,PerMainFemale2001,PerMainWorkersMale2001,PerMainWorkersFemale2001,Agriculture2001,Manufacturing2001,WholesaleRetail2001,Construction2001,Services2001,NonAgriculture2001,PPChangeinMain,PPChangeinMainMale,PPChangeinMainFemale,PPChangeinFemaleParticipation,PPChangeAgriculture,PPChangeinManufacturing,PPChangeinWholesale,PPChangeinConstruction,PPChangeinServices
Bharuch,488,District - Bharuch ,0,1551019,805707,745312,650933,463438,187495,563864,424405,139459,86.62396898,91.57751414,74.3801168,75.26726303,24.73273697,53.19793425,16.45254884,6.987855228,4.132556787,26.21696012,46.80206575,1370656,713676,656980,611314,395476,215838,519725,369014,150711,85.01768322,93.30882279,69.8259806,71.00177979,28.99822021,56.56337486,15.36793497,8.241281447,3.313483092,24.75520708,43.43662514,1.60628576,-1.731308641,4.554136207,-4.265483241,-3.365440608,1.084613876,-1.253426219,0.819073695,1.461753037
The Dangs,489,District - The Dangs ,0,228291,113821,114470,132632,60949,71683,106003,54736,51267,79.9226431,89.80623144,71.51904915,51.63627445,48.36372555,88.76258219,0.776393121,1.083931587,0.784883447,9.676141241,11.23741781,186729,93974,92755,103012,47008,56004,82299,42586,39713,79.89263387,90.59309054,70.91100636,51.74546471,48.25453529,87.83703326,2.448389409,1.810471573,1.28191108,8.432666254,12.16296674,0.030009235,-0.786859098,0.60804279,0.109190263,0.925548934,-1.671996288,-0.726539986,-0.497027634,1.243474988
Navsari,490,District - Navsari ,0,1329672,678165,651507,603772,395147,208625,531652,366569,165083,88.05509364,92.76775478,79.12905932,68.94904938,31.05095062,54.50858832,15.71591944,7.106904516,4.440874858,25.33461738,45.49141168,1229463,628988,600475,583866,346325,237541,505683,329083,176600,86.60942751,95.0214394,74.34506043,65.07693555,34.92306445,57.69009439,16.9918704,7.76830544,3.351309022,21.96672619,42.30990561,1.445666139,-2.253684614,4.783998885,-3.872113828,-3.181506063,-1.275950965,-0.661400924,1.089565836,3.367891191
Valsad,491,District - Valsad ,0,1705678,887222,818456,818264,526534,291730,672634,469119,203515,82.20256543,89.09567093,69.76142323,69.74357526,30.25642474,46.86084854,22.56145244,6.201292233,4.681595043,25.89610397,53.13915146,1410553,734799,675754,730374,427621,302753,599992,392287,207705,82.14859784,91.73707559,68.60543083,65.38203843,34.61796157,54.40972546,20.11393485,6.731756423,4.012553501,21.46378618,45.59027454,0.05396759,-2.641404653,1.155992404,-4.361536831,-7.548876918,2.447517587,-0.53046419,0.669041542,4.43231779
Surat,492,District - Surat ,Y,6081322,3402224,2679098,2522172,2077669,444503,2390966,2018390,372576,94.79789642,97.14685063,83.81855691,84.41734429,15.58265571,17.04775392,46.42763636,14.11053106,4.680074915,31.8445348,82.95224608,4995174,2722539,2272635,2216733,1600920,615813,2036342,1554976,481366,91.86230367,97.13015016,78.16756061,76.36123991,23.63876009,34.7601729,35.95348915,11.0073357,3.64830662,25.63803133,65.2398271,-0.290015022,1.752599097,-3.392796115,-3.963442728,-8.651996043,4.549993821,1.468660822,0.597860535,3.504141687
Tapi,493,District - Tapi ,Y,807022,402188,404834,496199,253348,242851,397172,221173,175999,80.04288602,87.30007736,72.47200959,55.68695678,44.31304322,80.65170757,4.840220358,2.636137492,1.634052753,12.87401932,19.34829243,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.290015022,1.752599097,-3.392796115,-3.963442728,-8.651996043,4.549993821,1.468660822,0.597860535,3.504141687
Diu,494,District - Diu ,0,52074,25642,26432,15880,12595,3285,14947,12370,2577,94.12468514,98.21357682,78.44748858,82.75908209,17.24091791,44.0021409,7.473071519,8.182243929,4.689904329,43.83488325,55.9978591,44215,20878,23337,15061,9120,5941,12849,8779,4070,85.31306022,96.26096491,68.50698536,68.32438322,31.67561678,47.30329208,9.666121877,11.67406024,5.875943653,37.15464238,52.69670792,8.811624917,1.952611904,9.940503228,-14.43469887,-3.301151187,-2.193050358,-3.49181631,-1.186039325,6.68024087
Daman,495,District - Daman ,0,191173,124659,66514,106818,95168,11650,103232,92680,10552,96.6428879,97.38567586,90.5751073,89.7783633,10.2216367,3.578347799,72.02611593,5.234810911,3.020381277,21.37515499,96.4216522,113989,71634,42355,59501,50914,8587,56938,49732,7206,95.69250937,97.67843815,83.91754978,87.3441287,12.6558713,9.520882363,56.02058379,8.19487864,5.416417858,29.04211599,90.47911764,0.950378533,-0.292762293,6.657557512,-2.434234597,-5.942534564,16.00553214,-2.960067729,-2.396036581,-7.666960995
Dadra & Nagar Haveli,496,District - Dadra & Nagar Haveli ,0,343709,193760,149949,173271,123032,50239,149042,113943,35099,86.01670216,92.61249106,69.86404984,76.45026234,23.54973766,28.52484535,45.80923498,4.48732572,3.364152387,22.30176729,71.47515465,220490,121666,98824,120555,75222,45333,105786,71630,34156,87.74916013,95.22480125,75.34467165,67.71217363,32.28782637,45.85862023,31.35764657,3.990131019,4.374870021,18.40886318,54.14137977,-1.732457974,-2.612310196,-5.48062181,-8.738088709,-17.33377489,14.45158841,0.497194701,-1.010717634,3.89290411
Nandurbar,497,District - Nandurbar ,0,1648295,833170,815125,796429,424940,371489,689366,386513,302853,86.55711934,90.95707629,81.52408281,56.06789427,43.93210573,81.9384768,2.626036097,2.881633269,1.659785948,13.77570115,18.0615232,1311709,663511,648198,656426,338754,317672,532776,301026,231750,81.1631471,88.86271454,72.9526052,56.50141898,43.49858102,82.34117152,4.370692374,3.754298242,1.397210085,11.89092602,17.65882848,5.393972239,2.094361757,8.57147761,0.433524715,-0.402694721,-1.744656277,-0.872664973,0.262575864,1.884775134
